,Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID,MLBID
32,Patrick Bailey,SF,133,525,473,106,73,22,1,11,54,50,42,0,136,3,4,3,,2,1,0.224807,0.08,0.259047619047619,0.311615,0.290402,0.343076,0.280344,0.633478,0.118269,3.15535,0.289731,-0.495961,-0.537726,48.0712,-13.9379,80.0229,-1.03369,24.2909,-13.459351062774658,34.54086494445801,3.9433,448.1900024414063,,,,,,,429.5,3.229323308,429.5,3.229323308,,,,,,,,,,,,,,,,,,,Patrick Bailey,27478,672275,672275.0
33,Byron Buxton,MIN,130,560,504,129,69,26,4,30,79,84,43,2,151,9,4,0,,18,3,0.255893,0.07678571428571429,0.26964285714285713,0.288464,0.323511,0.499348,0.349867,0.822859,0.243455,6.40917,0.303316,0.925362,1.77093,82.9054,16.7371,124.796,2.69629,0.593754,19.062285661697388,0.1937538385391235,3.94213,86.02999877929688,,,,,,,780.4,6.003076923,780.4,6.003076923,,,,,,,,,,,,,,,,,,,Byron Buxton,14161,621439,621439.0
34,Trea Turner,PHI,149,644,591,162,111,30,3,18,79,73,41,2,120,5,5,2,,29,5,0.274887,0.06366459627329192,0.18633540372670807,0.340383,0.32525,0.426139,0.325131,0.751389,0.151252,6.00951,0.316608,1.72775,2.67539,82.4077,6.3141,106.7,4.40314,0.357028,9.516963481903076,7.257028460502624,3.90834,27.21999931335449,,,,,,,768.6,5.158389261,768.6,5.158389261,,,,,,,,,,,,,,,,,,,Trea Turner,16252,607208,607208.0
35,Willy Adames,SF,157,679,600,143,86,30,1,26,80,85,71,2,168,4,5,0,,13,4,0.23821,0.10456553755522828,0.24742268041237114,0.419841,0.320061,0.421067,0.322024,0.741128,0.182856,3.79292,0.284777,0.11169,-0.340983,85.1736,4.9445,108.575,-0.229293,1.59984,6.671821236610413,8.874836444854736,3.90191,132.41000366210938,,,,,,,776.4,4.945222929,776.4,4.945222929,,,,,,,,,,,,,,,,,,,Willy Adames,15986,642715,642715.0
36,Ben Rice,NYY,130,556,485,120,69,23,1,27,72,77,58,2,116,9,4,0,,5,2,0.248243,0.10431654676258993,0.20863309352517986,0.501328,0.336773,0.468646,0.346629,0.805419,0.220403,3.55572,0.269378,-0.320619,-0.534418,80.8224,15.1503,124.452,-0.855038,12.2045,15.162591993808746,3.454532623291016,3.86198,50.08000183105469,,,,,,,718.1,5.523846153,718.1,5.523846153,,,,,,,,,,,,,,,,,,,Ben Rice,29576,700250,700250.0
37,Manny Machado,SD,151,651,591,156,99,28,0,28,76,87,52,2,128,3,5,0,,11,3,0.263759,0.07987711213517665,0.1966205837173579,0.410347,0.32415,0.455686,0.335185,0.779836,0.191927,3.38078,0.290309,-0.58248,-0.114431,88.6173,11.6966,118.936,-0.696911,2.61416,13.913640916347504,2.1391602754592896,3.85838,44.08000183105469,,,,,,,804.5,5.327814569,804.5,5.327814569,,,,,,,,,,,,,,,,,,,Manny Machado,11493,592518,592518.0
38,Maikel Garcia,KC,154,665,598,161,111,33,4,13,84,69,57,1,97,1,5,4,,28,7,0.269824,0.08571428571428572,0.14586466165413534,0.592048,0.332533,0.402134,0.320885,0.734667,0.13231,6.06753,0.30168,0.737065,1.56331,82.8026,4.22774,102.573,2.30038,8.01373,4.317095279693604,10.48873496055603,3.85657,78.19000244140625,,,,,,,751.9,4.882467532,751.9,4.882467532,,,,,,,,,,,,,,,,,,,Maikel Garcia,22715,672580,672580.0
39,Gabriel Moreno,ARI,115,456,405,111,76,23,1,11,56,51,43,1,77,4,3,2,,4,2,0.275212,0.09429824561403509,0.16885964912280702,0.556925,0.34808,0.420883,0.335661,0.768963,0.145671,3.46214,0.313171,0.410995,-0.745778,62.2766,8.37307,114.54,-0.334783,6.9177,7.526646614074707,14.892701625823976,3.84667,171.19000244140625,,,,,,,535.4,4.655652173,535.4,4.655652173,,,,,,,,,,,,,,,,,,,Gabriel Moreno,22664,672515,672515.0
40,Rafael Devers,SF,159,686,592,149,88,30,1,29,88,91,82,3,166,7,5,0,,3,1,0.251344,0.119533527696793,0.24198250728862974,0.496043,0.346696,0.455619,0.346956,0.802315,0.204275,2.87301,0.297098,-0.766468,-1.01187,99.9377,18.8815,125.654,-1.77834,8.49598,19.079914569854736,-4.8540239334106445,3.7906,68.45999908447266,,,,,,,877.6,5.519496855,877.6,5.519496855,,,,,,,,,,,,,,,,,,,Rafael Devers,17350,646240,646240.0
41,Jackson Merrill,SD,146,630,580,154,96,30,4,24,82,81,41,2,120,3,4,2,,7,3,0.264896,0.06507936507936508,0.19047619047619047,0.338845,0.314251,0.453112,0.328647,0.767363,0.188216,4.6541,0.294519,1.33536,-0.756073,82.4146,7.97526,114.458,0.579292,1.65977,11.37446528673172,3.709772229194641,3.6878,77.77999877929688,,,,,,,754.7,5.169178082,754.7,5.169178082,,,,,,,,,,,,,,,,,,,Jackson Merrill,29490,701538,701538.0
42,Masyn Winn,STL,149,644,585,150,101,31,4,14,77,68,46,1,117,5,5,3,,14,4,0.255505,0.07142857142857142,0.18167701863354038,0.395945,0.313181,0.392493,0.307911,0.705674,0.136988,5.13836,0.295411,1.20853,0.0667911,73.4039,-2.6897,98.662,1.27532,7.31908,0.2540843486785888,14.219081401824951,3.67294,259.1600036621094,,,,,,,667.7,4.481208053,667.7,4.481208053,,,,,,,,,,,,,,,,,,,Masyn Winn,27479,691026,691026.0
43,Matt Chapman,SF,156,672,586,137,81,30,2,24,83,81,74,2,170,8,5,0,,11,4,0.233884,0.11011904761904762,0.25297619047619047,0.436294,0.325251,0.414699,0.32288,0.739951,0.180815,4.34239,0.284865,-0.0980759,-0.486857,84.7622,5.36026,109.161,-0.584933,4.37748,6.711763858795166,6.777478218078613,3.66758,167.0500030517578,,,,,,,760.9,4.877564102,760.9,4.877564102,,,,,,,,,,,,,,,,,,,Matt Chapman,16505,656305,656305.0
44,Bo Bichette,NYM,152,658,601,168,113,33,2,21,79,81,46,2,113,4,5,2,,7,3,0.279544,0.06990881458966565,0.1717325227963526,0.401515,0.332094,0.442489,0.334108,0.774583,0.162945,3.63306,0.312454,0.339004,-0.788711,88.9951,11.2473,117.761,-0.449707,0.145631,13.40155205130577,0.4456311166286468,3.65655,107.88999938964844,,,,,,,799.2,5.257894736,799.2,5.257894736,,,,,,,,,,,,,,,,,,,Bo Bichette,19612,666182,666182.0
45,Austin Wells,NYY,122,481,428,100,59,21,1,19,56,60,44,1,113,5,3,1,,6,2,0.233394,0.09147609147609148,0.23492723492723494,0.389707,0.310622,0.418071,0.316485,0.728693,0.184677,3.84284,0.271763,-0.194045,-0.200954,58.1975,1.34,103.687,-0.394998,8.59326,1.6958960890769958,17.368258476257324,3.64501,228.2400054931641,,,,,,,530.0,4.344262295,530.0,4.344262295,,,,,,,,,,,,,,,,,,,Austin Wells,27562,669224,669224.0
46,Dansby Swanson,CHC,159,686,620,149,96,27,2,24,78,80,56,1,173,4,5,2,,18,4,0.240538,0.08163265306122448,0.2521865889212828,0.32669,0.305557,0.40705,0.309556,0.712607,0.166512,4.90001,0.291856,1.07305,0.855426,79.1072,-1.94898,99.4331,1.92847,3.89821,1.4675502479076383,11.24820637702942,3.6361,144.42999267578125,,,,,,,732.7,4.6081761,732.7,4.6081761,,,,,,,,,,,,,,,,,,,Dansby Swanson,18314,621020,621020.0
47,Nick Kurtz,OAK,143,616,538,143,78,28,2,35,87,96,71,3,175,3,4,0,,3,1,0.266587,0.11525974025974026,0.2840909090909091,0.402674,0.352903,0.523124,0.372196,0.876027,0.256537,3.52054,0.326434,0.132328,-0.816291,102.364,29.5785,138.116,-0.683963,-1.54279,26.989666759967804,-12.79279375076294,3.62172,20.15999984741211,,,,,,,909.3,6.358741258,909.3,6.358741258,,,,,,,,,,,,,,,,,,,Nick Kurtz,35110,701762,701762.0
48,Roman Anthony,BOS,146,630,540,142,87,33,3,19,87,75,81,2,152,4,4,1,,8,4,0.26304,0.12857142857142856,0.24126984126984127,0.531778,0.360169,0.440217,0.348565,0.800386,0.177177,4.56829,0.329899,0.422954,-1.08995,92.6027,18.1634,120.461,-0.666997,6.80445,14.526011645793917,-1.5455474853515625,3.54657,65.56999969482422,,,,,,,805.6,5.517808219,805.6,5.517808219,,,,,,,,,,,,,,,,,,,Roman Anthony,31812,701350,701350.0
49,Michael Harris II,ATL,133,574,534,149,96,28,3,21,75,75,29,2,110,5,4,2,,19,5,0.280014,0.050522648083623695,0.1916376306620209,0.263041,0.321028,0.466413,0.336765,0.787441,0.1864,5.83829,0.315368,0.708962,0.742075,78.8722,11.0497,115.809,1.45104,1.03422,12.206173419952393,3.08421790599823,3.51827,103.3499984741211,,,,,,,720.2,5.415037593,720.2,5.415037593,,,,,,,,,,,,,,,,,,,Michael Harris II,25931,671739,671739.0
50,Will Smith,LAD,126,500,431,111,69,21,1,20,65,63,56,2,96,9,4,0,,3,2,0.256251,0.112,0.192,0.583899,0.351529,0.449613,0.347934,0.801142,0.193362,3.01277,0.284022,-1.08804,-0.99384,73.2967,14.1706,124.44,-2.08188,-4.44673,12.413182497024536,4.703265190124512,3.45457,109.16000366210938,,,,,,,640.3,5.081746031,640.3,5.081746031,,,,,,,,,,,,,,,,,,,Will Smith,19197,669257,669257.0
51,Jackson Chourio,MIL,151,651,600,161,98,34,3,25,83,87,41,2,134,4,5,2,,25,7,0.268146,0.0629800307219662,0.20583717357910905,0.306263,0.316747,0.460553,0.332577,0.7773,0.192407,5.6884,0.305425,1.28448,1.05266,87.239,10.3183,114.166,2.33714,5.60603,13.266982316970823,-1.268974781036377,3.44353,20.3799991607666,,,,,,,815.2,5.398675496,815.2,5.398675496,,,,,,,,,,,,,,,,,,,Jackson Chourio,28806,694192,694192.0
