,Hitter,ID,Team,OppSP,SPID,SP Hand,Proj K,Proj BB,Proj HR,Proj TB,Proj BIP,PA,K%,BB%,Brl%,ISO,xwOBA,FB%,Hard%,FB%,Pull%,Split PA,Split K%,Split BB%,Split Brl%,Split ISO,Split xwOBA,Split Hard%,Split FB%,Split Pull%,IsHot,IsCold
43,Cam Smith,701358,HOU,Sandy Alcantara,645261,R,0.96,0.24,0.1,1.46,2.5300000000000002,383.0,0.279,0.084,0.067,0.125,0.321,0.205,0.414,0.205,0.356,297.0,0.276,0.077,0.048,0.096,0.302,0.418,0.175,0.392,N,N
44,Taylor Trammell,666211,HOU,Sandy Alcantara,645261,R,1.06,0.43,0.11,1.09,2.02,88.0,0.307,0.136,0.102,0.147,0.304,0.204,0.388,0.204,0.408,76.0,0.303,0.132,0.116,0.154,0.291,0.349,0.233,0.442,N,N
45,Xavier Edwards,669364,MIA,Jason Alexander,669920,R,0.62,0.44,0.05,1.57,3.51,720.0,0.156,0.096,0.011,0.08,0.297,0.203,0.281,0.203,0.279,502.0,0.153,0.092,0.013,0.087,0.304,0.31,0.214,0.286,N,N
46,Kyle Stowers,669065,MIA,Jason Alexander,669920,R,1.27,0.41,0.2,1.8900000000000001,2.7199999999999998,607.0,0.308,0.084,0.163,0.221,0.354,0.271,0.515,0.271,0.416,477.0,0.331,0.086,0.187,0.255,0.364,0.542,0.304,0.425,Y,N
47,Agustin Ramirez,682663,MIA,Jason Alexander,669920,R,0.79,0.23,0.22,1.96,3.32,362.0,0.193,0.058,0.125,0.226,0.357,0.225,0.487,0.225,0.369,270.0,0.159,0.056,0.123,0.227,0.356,0.491,0.222,0.382,N,N
48,Liam Hicks,689414,MIA,Jason Alexander,669920,R,0.68,0.68,0.07,1.24,2.7799999999999994,234.0,0.167,0.107,0.036,0.116,0.315,0.291,0.267,0.291,0.352,196.0,0.158,0.112,0.036,0.124,0.326,0.286,0.271,0.35,N,N
49,Otto Lopez,672640,MIA,Jason Alexander,669920,R,0.59,0.32,0.12,1.6199999999999999,3.2100000000000004,819.0,0.159,0.07,0.065,0.12,0.332,0.217,0.375,0.217,0.335,562.0,0.149,0.08,0.072,0.141,0.352,0.403,0.217,0.352,N,N
50,Jakob Marsee,805300,MIA,Jason Alexander,669920,R,0.85,0.53,0.11,1.27,2.5799999999999996,8.0,0.25,0.5,0.0,0.5,0.423,0.0,0.5,0.0,0.5,5.0,0.2,0.4,0.0,0.667,0.396,0.5,0.0,0.5,N,N
51,Troy Johnston,687859,MIA,Jason Alexander,669920,R,0.82,0.27,0.1,1.3599999999999999,2.7600000000000002,5.0,0.2,0.0,0.0,0.0,0.172,0.0,0.5,0.0,0.5,5.0,0.2,0.0,0.0,0.0,0.172,0.5,0.0,0.5,N,N
52,Dane Myers,667472,MIA,Jason Alexander,669920,R,0.94,0.2,0.1,1.3599999999999999,2.59,370.0,0.257,0.068,0.082,0.119,0.314,0.261,0.42,0.261,0.322,216.0,0.292,0.056,0.057,0.074,0.267,0.357,0.243,0.293,N,N
53,Graham Pauley,688363,MIA,Jason Alexander,669920,R,0.93,0.33,0.09,1.1,2.29,158.0,0.272,0.063,0.057,0.11,0.263,0.286,0.381,0.286,0.39,138.0,0.29,0.043,0.054,0.107,0.25,0.359,0.293,0.391,N,N
54,Jackson Holliday,702616,BAL,Jesus Luzardo,666200,L,1.45,0.29,0.18,1.7999999999999998,2.9499999999999997,647.0,0.264,0.06,0.093,0.14,0.305,0.256,0.444,0.256,0.349,166.0,0.307,0.054,0.049,0.098,0.263,0.382,0.176,0.412,N,N
55,Jordan Westburg,676059,BAL,Jesus Luzardo,666200,L,1.21,0.3,0.22,2.1100000000000003,3.0,693.0,0.219,0.048,0.115,0.212,0.346,0.276,0.457,0.276,0.358,188.0,0.255,0.069,0.127,0.191,0.338,0.444,0.333,0.357,Y,N
56,Gunnar Henderson,683002,BAL,Jesus Luzardo,666200,L,1.17,0.47,0.17,1.7800000000000002,2.8200000000000003,1149.0,0.223,0.097,0.104,0.223,0.366,0.218,0.532,0.218,0.394,361.0,0.255,0.102,0.084,0.168,0.319,0.41,0.207,0.379,N,N
57,Adley Rutschman,668939,BAL,Jesus Luzardo,666200,L,0.75,0.5,0.14,1.6500000000000001,3.1100000000000003,933.0,0.161,0.094,0.069,0.144,0.327,0.315,0.371,0.315,0.429,273.0,0.139,0.103,0.053,0.16,0.343,0.369,0.252,0.388,Y,N
58,Tyler O'Neill,641933,BAL,Jesus Luzardo,666200,L,1.34,0.51,0.27,1.83,2.2500000000000004,626.0,0.316,0.099,0.177,0.255,0.352,0.357,0.461,0.357,0.466,197.0,0.325,0.127,0.245,0.387,0.409,0.509,0.425,0.5,N,N
59,Coby Mayo,691723,BAL,Jesus Luzardo,666200,L,1.35,0.43,0.17,1.5,2.3099999999999996,167.0,0.299,0.096,0.081,0.107,0.29,0.232,0.374,0.232,0.384,69.0,0.261,0.116,0.098,0.102,0.323,0.439,0.244,0.463,N,N
60,Dylan Carlson,666185,BAL,Jesus Luzardo,666200,L,1.07,0.36,0.08,1.2300000000000002,2.5200000000000005,407.0,0.273,0.071,0.042,0.087,0.263,0.308,0.265,0.308,0.396,159.0,0.245,0.082,0.048,0.078,0.281,0.288,0.356,0.394,N,N
61,Colton Cowser,681297,BAL,Jesus Luzardo,666200,L,1.4,0.33,0.15,1.38,2.08,760.0,0.308,0.083,0.131,0.201,0.321,0.31,0.455,0.31,0.392,201.0,0.348,0.055,0.123,0.148,0.284,0.43,0.342,0.333,N,N
62,Jeremiah Jackson,669236,BAL,Jesus Luzardo,666200,L,0.88,0.16,0.16,1.6,2.64,6.0,0.167,0.0,0.0,0.0,0.227,0.0,0.4,0.0,0.2,2.0,0.0,0.0,0.0,0.0,0.234,0.5,0.0,0.0,N,N
63,Trea Turner,607208,PHI,Cade Povich,700249,L,0.83,0.33,0.18,2.02,3.5199999999999996,1025.0,0.177,0.058,0.066,0.157,0.318,0.261,0.409,0.261,0.418,315.0,0.168,0.06,0.067,0.178,0.332,0.412,0.308,0.421,N,N
64,Kyle Schwarber,656941,PHI,Cade Povich,700249,L,1.32,0.77,0.29,1.98,2.3899999999999997,1171.0,0.28,0.145,0.171,0.27,0.398,0.317,0.574,0.317,0.506,423.0,0.265,0.142,0.143,0.256,0.397,0.561,0.283,0.488,Y,N
65,Bryce Harper,547180,PHI,Cade Povich,700249,L,1.03,0.67,0.17,1.7599999999999998,2.7500000000000004,980.0,0.215,0.113,0.113,0.238,0.37,0.302,0.486,0.302,0.371,359.0,0.228,0.106,0.126,0.214,0.379,0.471,0.286,0.378,N,N
66,J.T. Realmuto,592663,PHI,Cade Povich,700249,L,1.17,0.33,0.17,1.8200000000000003,2.85,786.0,0.246,0.062,0.093,0.144,0.329,0.216,0.456,0.216,0.387,228.0,0.25,0.057,0.134,0.126,0.325,0.522,0.191,0.376,N,N
67,Nick Castellanos,592206,PHI,Cade Povich,700249,L,0.9,0.28,0.16,1.8200000000000003,2.98,1100.0,0.21,0.056,0.084,0.174,0.329,0.305,0.368,0.305,0.384,300.0,0.223,0.06,0.08,0.209,0.342,0.42,0.316,0.434,N,N
68,Harrison Bader,664056,PHI,Cade Povich,700249,L,1.05,0.38,0.19,1.75,2.7400000000000007,748.0,0.238,0.064,0.083,0.154,0.298,0.235,0.371,0.235,0.452,244.0,0.254,0.078,0.112,0.169,0.296,0.398,0.311,0.422,N,N
69,Otto Kemp,805249,PHI,Cade Povich,700249,L,1.17,0.28,0.12,1.39,2.46,142.0,0.289,0.042,0.124,0.147,0.321,0.337,0.449,0.337,0.483,40.0,0.325,0.075,0.136,0.229,0.374,0.682,0.455,0.318,N,N
70,Edmundo Sosa,624641,PHI,Cade Povich,700249,L,0.95,0.18,0.14,1.6300000000000001,2.62,445.0,0.234,0.047,0.071,0.157,0.302,0.247,0.393,0.247,0.383,203.0,0.222,0.064,0.094,0.203,0.331,0.424,0.259,0.41,N,N
71,Weston Wilson,642215,PHI,Cade Povich,700249,L,1.12,0.49,0.11,1.15,2.14,145.0,0.29,0.103,0.138,0.172,0.329,0.253,0.46,0.253,0.379,89.0,0.258,0.124,0.167,0.171,0.385,0.5,0.259,0.389,N,N
72,Jonathan India,663697,KC,Brayan Bello,678394,R,0.74,0.45,0.11,1.6199999999999999,3.209999999999999,1076.0,0.183,0.11,0.068,0.127,0.345,0.251,0.368,0.251,0.408,819.0,0.178,0.103,0.068,0.128,0.341,0.362,0.255,0.428,N,N
73,Bobby Witt Jr.,677951,KC,Brayan Bello,678394,R,0.74,0.31,0.21,2.27,3.45,1172.0,0.17,0.066,0.138,0.236,0.395,0.293,0.484,0.293,0.329,941.0,0.172,0.07,0.146,0.255,0.398,0.497,0.298,0.318,N,N
74,Vinnie Pasquantino,686469,KC,Brayan Bello,678394,R,0.58,0.34,0.17,1.96,3.4800000000000004,1013.0,0.144,0.07,0.08,0.18,0.335,0.28,0.451,0.28,0.456,786.0,0.121,0.079,0.082,0.187,0.348,0.457,0.283,0.461,N,N
75,Maikel Garcia,672580,KC,Brayan Bello,678394,R,0.58,0.32,0.09,1.62,3.4399999999999995,1074.0,0.149,0.073,0.047,0.129,0.321,0.208,0.43,0.208,0.322,827.0,0.151,0.074,0.044,0.117,0.32,0.433,0.198,0.309,N,N
76,Salvador Perez,521692,KC,Brayan Bello,678394,R,0.79,0.21,0.23,1.9500000000000002,3.05,1077.0,0.201,0.046,0.133,0.196,0.361,0.332,0.452,0.332,0.466,825.0,0.201,0.055,0.132,0.203,0.37,0.452,0.326,0.465,N,N
77,Mike Yastrzemski,573262,KC,Brayan Bello,678394,R,0.93,0.46,0.12,1.47,2.6199999999999997,848.0,0.251,0.094,0.089,0.173,0.299,0.308,0.401,0.308,0.456,680.0,0.24,0.104,0.092,0.194,0.31,0.418,0.333,0.465,N,N
78,Adam Frazier,624428,KC,Brayan Bello,678394,R,0.61,0.28,0.05,1.31,3.0200000000000005,588.0,0.184,0.066,0.019,0.093,0.28,0.266,0.21,0.266,0.376,519.0,0.181,0.067,0.018,0.092,0.284,0.214,0.274,0.377,N,N
79,John Rave,670231,KC,Brayan Bello,678394,R,0.85,0.52,0.11,1.34,2.48,114.0,0.246,0.132,0.056,0.135,0.305,0.282,0.408,0.282,0.451,99.0,0.232,0.131,0.063,0.155,0.308,0.429,0.286,0.476,N,N
80,Kyle Isbel,664728,KC,Brayan Bello,678394,R,0.63,0.21,0.06,1.23,2.73,719.0,0.2,0.056,0.028,0.128,0.269,0.181,0.352,0.181,0.416,603.0,0.181,0.058,0.033,0.141,0.281,0.351,0.193,0.412,N,N
81,Rob Refsnyder,608701,BOS,Bailey Falter,663559,L,0.85,0.47,0.14,1.79,2.9899999999999998,451.0,0.259,0.095,0.106,0.196,0.333,0.222,0.458,0.222,0.387,248.0,0.262,0.113,0.139,0.248,0.364,0.503,0.252,0.364,N,N
82,Alex Bregman,608324,BOS,Bailey Falter,663559,L,0.46,0.36,0.17,1.8900000000000001,3.3800000000000003,915.0,0.148,0.071,0.074,0.209,0.328,0.29,0.425,0.29,0.419,256.0,0.109,0.102,0.06,0.184,0.352,0.418,0.249,0.413,N,N
83,Roman Anthony,701350,BOS,Bailey Falter,663559,L,0.92,0.61,0.15,1.63,2.6800000000000006,186.0,0.247,0.14,0.101,0.142,0.364,0.183,0.569,0.183,0.431,60.0,0.383,0.1,0.032,0.074,0.234,0.516,0.161,0.452,N,N
84,Romy Gonzalez,663853,BOS,Bailey Falter,663559,L,0.95,0.21,0.19,2.0200000000000005,2.9499999999999997,402.0,0.261,0.052,0.125,0.204,0.344,0.216,0.56,0.216,0.304,228.0,0.272,0.079,0.156,0.266,0.39,0.612,0.265,0.293,N,N
85,Trevor Story,596115,BOS,Bailey Falter,663559,L,0.96,0.2,0.15,1.6400000000000001,2.72,546.0,0.291,0.057,0.103,0.169,0.299,0.274,0.456,0.274,0.359,133.0,0.301,0.045,0.07,0.167,0.282,0.477,0.267,0.465,N,Y
86,Carlos Narvaez,665966,BOS,Bailey Falter,663559,L,0.79,0.36,0.14,1.57,2.72,344.0,0.253,0.099,0.085,0.156,0.294,0.269,0.462,0.269,0.381,109.0,0.239,0.128,0.116,0.179,0.321,0.507,0.232,0.391,N,N
87,Jarren Duran,680776,BOS,Bailey Falter,663559,L,0.75,0.27,0.1,1.63,2.75,1228.0,0.23,0.074,0.099,0.202,0.336,0.228,0.452,0.228,0.347,389.0,0.265,0.062,0.078,0.103,0.295,0.422,0.198,0.283,N,N
88,Ceddanne Rafaela,678882,BOS,Bailey Falter,663559,L,0.68,0.14,0.16,1.77,2.81,967.0,0.234,0.032,0.093,0.163,0.296,0.265,0.398,0.265,0.372,271.0,0.284,0.048,0.129,0.179,0.291,0.438,0.258,0.438,N,Y
89,Abraham Toro,647351,BOS,Bailey Falter,663559,L,0.46,0.18,0.07,1.29,2.81,600.0,0.162,0.052,0.046,0.123,0.301,0.258,0.312,0.258,0.393,142.0,0.134,0.028,0.043,0.13,0.305,0.31,0.216,0.31,N,N
90,Steven Kwan,680757,CLE,Sean Manaea,640455,L,0.49,0.43,0.07,1.59,3.62,1000.0,0.09,0.092,0.026,0.127,0.327,0.28,0.225,0.28,0.317,312.0,0.106,0.077,0.016,0.086,0.314,0.198,0.23,0.313,N,N
91,Angel Martinez,682657,CLE,Sean Manaea,640455,L,1.05,0.26,0.09,1.4900000000000002,3.1,512.0,0.213,0.055,0.03,0.136,0.266,0.272,0.312,0.272,0.481,155.0,0.206,0.097,0.037,0.164,0.316,0.327,0.187,0.551,N,N
92,Jose Ramirez,608070,CLE,Sean Manaea,640455,L,0.56,0.37,0.21,2.0,3.3200000000000003,1113.0,0.116,0.064,0.083,0.245,0.341,0.309,0.392,0.309,0.516,304.0,0.095,0.049,0.097,0.283,0.364,0.467,0.286,0.533,N,N
93,David Fry,681807,CLE,Sean Manaea,640455,L,1.23,0.44,0.15,1.52,2.4899999999999998,482.0,0.249,0.091,0.075,0.187,0.3,0.33,0.386,0.33,0.448,238.0,0.273,0.122,0.108,0.233,0.311,0.41,0.36,0.46,N,N
94,Carlos Santana,467793,CLE,Sean Manaea,640455,L,0.86,0.48,0.13,1.3900000000000001,2.7000000000000006,1005.0,0.175,0.107,0.065,0.154,0.317,0.272,0.388,0.272,0.514,281.0,0.171,0.093,0.097,0.225,0.355,0.49,0.252,0.466,N,N
95,Gabriel Arias,672356,CLE,Sean Manaea,640455,L,1.57,0.28,0.12,1.27,2.1499999999999995,469.0,0.316,0.055,0.1,0.139,0.295,0.201,0.401,0.201,0.398,154.0,0.351,0.052,0.076,0.171,0.269,0.402,0.185,0.435,N,N
96,Daniel Schneemann,682177,CLE,Sean Manaea,640455,L,1.28,0.46,0.11,1.18,2.1700000000000004,506.0,0.275,0.109,0.093,0.162,0.311,0.251,0.392,0.251,0.428,79.0,0.329,0.139,0.048,0.104,0.257,0.262,0.238,0.214,N,N
97,Brayan Rocchio,677587,CLE,Sean Manaea,640455,L,0.99,0.32,0.08,1.1800000000000002,2.41,642.0,0.201,0.083,0.034,0.107,0.277,0.251,0.26,0.251,0.414,190.0,0.258,0.084,0.041,0.13,0.254,0.248,0.24,0.446,N,N
