,player_name,pitcher,Split,zone,xwOBA,IsBIP,BatterName,batter
8170,,,R,7,0.3132585034013605,134,Jose Ramirez,608070.0
7954,,,L,8,0.31322222222222224,40,Jorge Polanco,593871.0
2045,,,L,8,0.31320000000000003,4,Brooks Baldwin,681460.0
13234,,,L,4,0.3131851851851852,25,Spencer Torkelson,679529.0
136,Eduardo Rodriguez,593958.0,L,8,0.31314285714285717,26,,
14261,,,R,3,0.31310344827586206,25,Tyler Soderstrom,691016.0
10326,,,R,5,0.3129369369369369,106,Mauricio Dubon,643289.0
1463,,,R,1,0.31288095238095237,37,Bo Bichette,666182.0
55,Chris Sale,519242.0,L,2,0.312875,6,,
225,Jake Irvin,663623.0,R,9,0.31281159420289856,59,,
6412,,,R,5,0.3127666666666667,57,Jacob Wilson,805779.0
8004,,,L,1,0.31276190476190474,21,Jose Altuve,514888.0
9456,,,R,2,0.3127258064516129,123,Luis Arraez,650333.0
676,,,L,2,0.3127241379310345,27,Andres Gimenez,665926.0
11665,,,L,6,0.3126551724137931,25,Oneil Cruz,665833.0
14460,,,R,2,0.312536231884058,69,Vinnie Pasquantino,686469.0
8982,,,R,9,0.3125178571428572,48,Kyle Isbel,664728.0
8979,,,R,6,0.31250666666666665,72,Kyle Isbel,664728.0
5654,,,L,2,0.3123870967741936,29,Harrison Bader,664056.0
7094,,,L,6,0.31229545454545454,42,Jeremy Pena,665161.0
2704,,,R,7,0.31226923076923074,67,Cedric Mullins II,656775.0
12742,,,R,7,0.31226126126126125,90,Ryan McMahon,641857.0
212,Jake Irvin,663623.0,L,6,0.31220238095238095,77,,
9119,,,R,1,0.3120851063829787,33,Kyle Tucker,663656.0
11030,,,L,6,0.31205,15,Myles Straw,664702.0
13349,,,L,6,0.3116285714285714,31,TJ Friedl,670770.0
8667,,,R,3,0.31153333333333333,40,Kerry Carpenter,681481.0
8093,,,R,4,0.3115,4,Jose Fermin,665877.0
9574,,,R,8,0.3114461538461538,55,Luis Rengifo,650859.0
10193,,,R,3,0.3113529411764706,46,Matt Olson,621566.0
6116,,,L,8,0.31134782608695655,19,JJ Bleday,668709.0
1250,,,R,1,0.31126923076923074,17,Ben Rice,700250.0
4119,,,R,9,0.31123913043478263,37,Dillon Dingler,693307.0
2068,,,R,4,0.31122222222222223,43,Brooks Lee,686797.0
9065,,,R,1,0.31121686746987953,48,Kyle Schwarber,656941.0
6991,,,R,2,0.3112131147540984,46,Jazz Chisholm,665862.0
14833,,,R,2,0.3111111111111111,31,Willson Contreras,575929.0
437,,,L,1,0.31103846153846154,26,Alex Bregman,608324.0
8405,,,R,9,0.3110204081632653,38,Josh Smith,669701.0
10595,,,L,3,0.311,8,Michael Massey,686681.0
5354,,,L,8,0.311,35,George Springer,543807.0
13688,,,R,1,0.31097058823529405,24,Tommy Pham,502054.0
192,,,R,2,0.31096875,23,Addison Barger,680718.0
7855,,,R,8,0.3109550561797753,70,Jordan Walker,691023.0
10158,,,R,6,0.31069491525423726,40,Matt McLain,680574.0
704,,,R,2,0.3106774193548387,84,Andrew Benintendi,643217.0
182,Gavin Williams,668909.0,R,6,0.3106507936507937,53,,
5315,,,L,5,0.3106,13,Gavin Lux,666158.0
4488,,,R,9,0.3105909090909091,21,Edgar Quero,700337.0
9548,,,R,2,0.31052,20,Luis Matos,682641.0
13202,,,R,2,0.3105151515151515,26,Spencer Horwitz,687462.0
378,Nick Pivetta,601713.0,L,6,0.31050943396226416,44,,
9056,,,L,1,0.3104878048780488,17,Kyle Schwarber,656941.0
258,Johan Oviedo,670912.0,R,6,0.31035483870967745,26,,
6863,,,R,7,0.310340206185567,80,Jarren Duran,680776.0
253,Johan Oviedo,670912.0,R,1,0.31025,16,,
10888,,,L,6,0.31025,11,Mike Trout,545361.0
431,,,R,4,0.31021333333333334,70,Alek Thomas,677950.0
9432,,,L,8,0.31018181818181817,50,Lourdes Gurriel Jr.,666971.0
7314,,,R,9,0.31017857142857147,45,Joey Bart,663698.0
3396,,,L,4,0.3101777777777778,36,Corbin Carroll,682998.0
9818,,,R,1,0.31016279069767444,35,Manny Machado,592518.0
12734,,,L,8,0.31002083333333336,38,Ryan McMahon,641857.0
3152,,,R,2,0.31,2,Cody Freeman,683227.0
11992,,,L,8,0.3098974358974359,34,Paul Goldschmidt,502671.0
3769,,,R,7,0.309875,7,Darell Hernaiz,687231.0
11013,,,L,9,0.3098181818181818,33,Mookie Betts,605141.0
12676,,,L,4,0.3098076923076923,23,Ryan Jeffers,680777.0
296,Kyle Hendricks,543294.0,R,6,0.3096829268292683,67,,
3338,,,L,3,0.3096,2,Connor Norby,681393.0
