,Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID,MLBID
100,Cade Cavalli,WSH,7.0074,9.97106,10.2762,4.47002,24.528,24.528,0,0.0,,137.939,593.853,136.87,73.35,68.51,16.6641,48.2484,0.464132,7.34439,110.54,7.21234,3.14803,2.29107,1.08727,0.186141,0.0812465,0.1048946380615234,0.254282,1.34203,0.292432,0.690829,,,4.31197,1.78848,1.29298,341.0299987792969,,,,,,,512.9000000000001,3.7166666666666672,526,3.811594202898551,,,,,,,,,,,,,,,,,,,Cade Cavalli,27473,676917,676917.0
101,Jacob Lopez,OAK,7.42365,8.41776,9.24684,4.43029,23.199,23.199,0,0.0,,127.82,545.937,113.949,67.4,62.92,20.1585,49.5003,0.40515,6.78152,138.634,9.76144,3.48539,2.80067,1.41939,0.253938,0.0906704,0.1632678583264351,0.232713,1.27875,0.283474,0.710281,,,4.33712,1.78791,1.27049,379.9700012207031,,,,,,,511.80000000000007,3.998437500000001,487,3.8046875,,,,,,,,,,,,,,,,,,,Jacob Lopez,25098,682052,682052.0
102,Justin Steele,CHC,5.87835,4.42476,4.86544,3.42845,13.905,13.699,0,0.0,,74.6838,305.171,66.0579,30.68,28.45,7.27964,18.4635,0.205856,2.60835,68.6288,8.27032,2.22499,3.71701,0.877256,0.224887,0.0605021,0.1643844991922378,0.232517,1.13172,0.282329,0.724357,,,3.41087,1.78345,1.61338,378.1600036621094,,,,,,,372.3,4.964,359,4.786666666666667,,,,,,,,,,,,,,,,,,,Justin Steele,17312,657006,657006.0
103,Brady Singer,CIN,8.85135,11.3438,12.9496,4.78982,29.019,29.019,0,0.0,,166.572,719.589,168.378,94.48,88.65,25.1869,56.1115,0.44223,8.8143,148.4,8.01815,3.03175,2.64473,1.36087,0.206229,0.0779772,0.1282515898346901,0.257197,1.3477,0.297647,0.687053,,,4.48835,1.78167,1.00782,321.489990234375,,,,,,,592.5,3.5479041916167664,611,3.658682634730539,,,,,,,,,,,,,,,,,,,Brady Singer,25377,663903,663903.0
104,Simeon Woods Richardson,MIN,6.50584,9.32999,3.15833,4.40486,30.905,21.933,0,0.6512,,122.592,522.874,112.897,63.94,60.0,16.2776,45.0836,1.16106,4.32117,110.631,8.12188,3.30978,2.45391,1.19501,0.211582,0.0862227,0.1253596246242523,0.238446,1.28867,0.278795,0.695608,,,4.2654,1.77332,1.16581,340.2699890136719,,,,,,,498.6000000000001,4.053658536585367,486,3.951219512195122,,,,,,,,,,,,,,,,,,,Simeon Woods Richardson,24494,680573,680573.0
105,Tatsuya Imai,HOU,8.87119,9.00422,11.9498,4.46007,25.223,25.223,0,0.0,,149.991,645.967,134.579,79.23,74.33,21.3203,63.8683,0.44591,9.03624,150.519,9.03169,3.83233,2.35671,1.27929,0.233014,0.0988725,0.1341411918401718,0.234842,1.32306,0.282284,0.707106,,,4.43414,1.75566,1.44057,999.0,,,,,,,583.7,3.8913333333333338,560,3.733333333333333,,,,,,,,,,,,,,,,,,,Tatsuya Imai,sa3062955,837227,
106,Parker Messick,CLE,7.19054,8.92289,7.87716,4.32364,21.83,21.582,0,0.0,,115.944,494.985,113.828,59.69,55.7,15.4292,36.1399,0.373145,5.46412,105.424,8.18336,2.80531,2.9171,1.19767,0.212983,0.073012,0.1399712190032005,0.251064,1.29345,0.29591,0.703279,,,4.12306,1.75492,1.2237,310.6499938964844,,,,,,,464.5000000000001,4.004310344827587,472,4.068965517241379,,,,,,,,,,,,,,,,,,,Parker Messick,31986,800048,800048.0
107,Eduardo Rodriguez,ARI,7.60677,9.08323,10.3186,4.77024,24.25,24.25,0,0.0,,136.314,591.658,139.01,77.25,72.25,19.0753,50.479,0.618248,3.60034,117.424,7.7528,3.33282,2.32619,1.25943,0.198466,0.0853179,0.1131480485200882,0.258586,1.39009,0.299031,0.689498,,,4.42164,1.74993,0.77685,536.2999877929688,,,,,,,483.30000000000007,3.553676470588236,505,3.713235294117647,,,,,,,,,,,,,,,,,,,Eduardo Rodriguez,13164,593958,593958.0
108,Dustin May,STL,7.01313,10.1499,6.48121,4.49161,29.197,23.057,0,0.6713,,135.172,580.424,128.337,71.9,67.46,15.8264,49.7258,1.18605,8.0039,113.447,7.55354,3.31084,2.28146,1.05375,0.195456,0.0856715,0.1097845509648323,0.24553,1.31731,0.28598,0.680942,,,4.25991,1.74607,1.13846,445.5899963378906,,,,,,,525.4000000000001,3.891851851851853,523,3.874074074074074,,,,,,,,,,,,,,,,,,,Dustin May,19716,669160,669160.0
109,Lucas Giolito,,9.08721,10.8287,9.37636,4.56712,25.559,25.092,0,0.0,,135.972,582.786,127.349,73.58,69.0,20.7369,51.4911,0.57593,4.49391,125.741,8.32283,3.4082,2.442,1.37258,0.215759,0.0883534,0.1274053379893303,0.24174,1.31527,0.28032,0.702632,,,4.50345,1.73426,1.05843,406.9200134277344,,,,,,,504.90000000000015,3.712500000000001,494,3.632352941176471,,,,,,,,,,,,,,,,,,,Lucas Giolito,15474,608337,608337.0
