,Pitcher,Team,FGID,SAVID,TBF,IP,GS,H,R,W,QS,SV,ER,HR,HR/9,K%,K/9,K,BB,BB/9,BB%,HBP,1B,2B,3B,ERA,WHIP,GB%,LD%,FB%,FB,GB,LD,L,G,HLD,BS,IBB,K/BB,K-BB%,AVG,BABIP,LOB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,MLBAMID,MLBID,$,Deep $
612,Joel Payamps,FA,14332,606303.0,170.794,39.5,0.0,37.36,20.37,0.0,0.0,0.0,19.0,6.0,1.4,0.22,8.7,38.0,12.0,2.7,0.069,2.0,23.0,7.36,1.0,4.33,1.25,0.398,0.245,0.283,32.795570999999995,50.00871600000001,29.292545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.38
613,Justin Hagenman,NYM,21546,663795.0,166.389,39.2,0.0,35.44,18.43,0.0,0.0,0.0,17.0,5.0,1.1,0.221,8.5,37.0,10.0,2.3,0.061,2.0,23.0,6.44,1.0,3.9,1.16,0.47,0.239,0.234,29.489083,53.725049999999996,28.5936655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.7
614,Andry Lara,WSH,27967,691251.0,174.672,39.2,0.0,39.120000000000005,20.37,0.0,0.0,0.0,19.0,5.0,1.1,0.167,6.7,29.0,15.0,3.4,0.088,2.0,25.76,7.36,1.0,4.36,1.38,0.505,0.227,0.218,31.230607999999997,61.08916,30.511912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
615,Chris Murphy,BOS,26214,669684.0,174.064,39.2,0.0,37.28,21.34,0.0,0.0,0.0,20.0,5.0,1.1,0.221,8.7,38.0,17.0,3.9,0.096,3.0,23.0,8.280000000000001,1.0,4.59,1.38,0.448,0.239,0.252,30.480383999999997,52.269096,28.515827999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
616,Reiver Sanmartin,SF,19754,665665.0,173.385,39.0,0.0,37.2,19.4,0.0,0.0,0.0,18.0,4.0,0.9,0.2,8.1,35.0,17.0,3.9,0.099,2.0,24.84,7.36,1.0,4.15,1.39,0.604,0.205,0.163,25.6729275,62.756045,27.008162499999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.13
617,Ken Waldichuk,OAK,27681,686610.0,172.637,38.5,0.0,37.36,21.34,0.0,0.0,0.0,20.0,6.0,1.4,0.209,8.4,36.0,18.0,4.2,0.102,2.0,23.0,7.36,1.0,4.68,1.44,0.404,0.244,0.278,31.913353,49.47162900000001,28.710154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
618,Edgardo Henriquez,LAD,26944,683618.0,163.934,38.4,0.0,32.6,17.46,0.0,0.0,0.0,16.0,5.0,1.2,0.249,9.6,41.0,13.0,3.0,0.079,2.0,21.16,6.44,0.0,3.75,1.19,0.517,0.228,0.21,25.83449,52.053749,25.724555999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.74
621,Kyle Hart,FA,19646,606996.0,164.502,37.8,0.0,36.44,20.37,0.0,0.0,0.0,19.0,6.0,1.4,0.195,7.6,32.0,13.0,3.1,0.078,2.0,22.080000000000002,7.36,1.0,4.52,1.31,0.336,0.234,0.326,35.014086000000006,45.769266,28.321974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.08
622,Paxton Schultz,TOR,25501,687606.0,163.511,37.8,0.0,33.52,17.46,0.0,0.0,0.0,16.0,5.0,1.2,0.226,8.8,37.0,13.0,3.1,0.078,1.0,22.080000000000002,6.44,0.0,3.81,1.23,0.452,0.239,0.249,28.8885495,50.058351,27.185884499999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.66
623,Yaramil Hiraldo,BAL,25215,682274.0,160.609,37.1,0.0,33.6,18.43,0.0,0.0,0.0,17.0,5.0,1.2,0.239,9.2,38.0,14.0,3.4,0.09,2.0,21.16,6.44,1.0,4.12,1.28,0.442,0.241,0.255,27.966817500000005,47.353524,26.1204645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.37
627,Genesis Cabrera,MIN,17490,650893.0,160.66,36.3,0.0,36.44,20.37,0.0,0.0,0.0,19.0,6.0,1.5,0.194,7.7,31.0,14.0,3.5,0.09,1.0,22.080000000000002,7.36,1.0,4.71,1.39,0.379,0.242,0.296,32.15348,46.78446999999999,27.874059999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
628,Ryan Gusto,MIA,26440,687473.0,156.475,36.1,1.62,32.68000000000001,18.43,0.0,0.7,0.0,17.0,5.0,1.2,0.215,8.5,34.0,13.0,3.2,0.08,2.0,20.240000000000002,6.44,1.0,4.24,1.27,0.371,0.239,0.301,30.707737499999997,43.844737499999994,26.2192625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.3
631,Chayce McDermott,BAL,29866,694646.0,159.832,35.9,3.24,29.84,18.43,1.0,1.0,0.0,17.0,4.0,1.0,0.259,10.3,41.0,20.0,5.0,0.125,2.0,19.32,5.5200000000000005,1.0,4.26,1.39,0.472,0.239,0.234,24.411503999999997,44.57323199999999,23.670263999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.63
635,Jake Eder,WSH,27590,671109.0,155.575,35.4,0.0,33.6,18.43,0.0,0.0,0.0,17.0,5.0,1.3,0.204,8.1,32.0,14.0,3.6,0.089,2.0,21.16,6.44,1.0,4.32,1.34,0.468,0.24,0.236,27.174599999999998,49.199175,26.297999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.07
640,Dylan Smith,DET,30145,681916.0,147.762,34.5,0.0,29.84,16.49,0.0,0.0,0.0,15.0,4.0,1.0,0.25,9.7,37.0,13.0,3.4,0.089,2.0,19.32,5.5200000000000005,1.0,3.91,1.24,0.515,0.228,0.211,23.022951,46.192545,22.876307999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.49
641,Logan VanWey,HOU,31884,701121.0,151.111,34.4,0.0,27.92,16.49,0.0,0.0,0.0,15.0,4.0,1.0,0.256,10.2,39.0,17.0,4.4,0.112,2.0,18.400000000000002,5.5200000000000005,0.0,3.92,1.31,0.472,0.239,0.234,23.492416999999996,42.89506099999999,22.779084499999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.41
643,Kevin Kelly,TB,25679,687330.0,144.374,34.2,0.0,32.6,16.49,0.0,0.0,0.0,15.0,5.0,1.3,0.213,8.2,31.0,7.0,1.8,0.048,3.0,21.16,6.44,0.0,3.95,1.16,0.499,0.231,0.22,25.52976,49.410723,25.051076999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.59
644,Michael Petersen,MIA,20827,656848.0,147.059,34.1,0.0,30.840000000000003,17.46,0.0,0.0,0.0,16.0,5.0,1.3,0.216,8.4,32.0,12.0,3.2,0.084,1.0,18.400000000000002,6.44,1.0,4.22,1.26,0.314,0.235,0.342,31.020759000000005,38.337948,24.4765125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.31
645,Jairo Iriarte,CWS,26907,683568.0,150.442,34.1,0.0,29.76,16.49,0.0,0.0,0.0,15.0,4.0,1.1,0.211,8.4,32.0,15.0,4.0,0.101,2.0,20.240000000000002,5.5200000000000005,0.0,3.96,1.31,0.525,0.227,0.204,23.998544,49.393555000000006,24.153707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.35
648,Grant Wolfram,BAL,21623,664991.0,147.634,34.0,0.0,30.76,16.49,0.0,0.0,0.0,15.0,4.0,1.1,0.233,9.0,34.0,13.0,3.4,0.089,1.0,20.240000000000002,5.5200000000000005,1.0,3.97,1.29,0.51,0.228,0.214,23.850257999999997,47.29797999999999,23.548355999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.42
649,Brock Stewart,LAD,16727,592779.0,142.2,34.0,0.0,27.080000000000002,15.52,0.0,0.0,0.0,14.0,5.0,1.3,0.295,11.1,42.0,12.0,3.2,0.082,2.0,16.560000000000002,5.5200000000000005,0.0,3.71,1.15,0.359,0.237,0.308,25.0488,34.79489999999999,21.035699999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.85
654,Cooper Criswell,BOS,24975,681867.0,151.257,34.0,1.62,36.36,19.4,0.0,0.4,0.0,18.0,5.0,1.3,0.167,6.6,25.0,11.0,2.9,0.075,3.0,23.0,7.36,1.0,4.76,1.39,0.488,0.236,0.224,27.892194,52.902963,27.431166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
656,Angel Chivilli,COL,26790,683409.0,150.642,33.8,0.0,34.52,18.43,0.0,0.0,0.0,17.0,5.0,1.3,0.178,7.2,27.0,12.0,3.2,0.079,3.0,22.080000000000002,6.44,1.0,4.53,1.38,0.515,0.228,0.211,26.291690999999997,52.750845,26.124228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
657,Tayler Saucedo,SEA,17888,642048.0,145.923,33.5,0.0,29.76,16.49,0.0,0.0,0.0,15.0,4.0,1.1,0.214,8.3,31.0,13.0,3.5,0.089,3.0,20.240000000000002,5.5200000000000005,0.0,4.03,1.28,0.565,0.223,0.179,22.3720985,50.706692499999996,23.5951745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.44
658,Gus Varland,ARI,24737,681402.0,147.441,33.4,0.0,31.680000000000003,17.46,0.0,0.0,0.0,16.0,4.0,1.1,0.213,8.4,31.0,14.0,3.8,0.096,1.0,20.240000000000002,6.44,1.0,4.31,1.37,0.486,0.237,0.224,24.790722,46.917978,24.4321785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.05
661,Roddery Munoz,CIN,25311,682610.0,149.385,32.9,0.0,32.760000000000005,19.4,0.0,0.0,0.0,18.0,7.0,1.9,0.195,7.9,29.0,15.0,4.1,0.099,2.0,19.32,6.44,0.0,4.92,1.45,0.383,0.243,0.293,29.138952499999995,42.83900249999999,25.450477499999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
662,Mitch Spence,OAK,27707,687765.0,143.824,32.5,0.0,33.519999999999996,17.46,0.0,0.0,0.0,16.0,5.0,1.4,0.169,6.6,24.0,10.0,2.8,0.067,1.0,21.16,7.36,0.0,4.43,1.34,0.461,0.24,0.24,27.456000000000003,48.92659200000001,26.357760000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
664,Paul Gervase,LAD,31571,801434.0,139.434,32.4,0.0,24.240000000000002,14.549999999999999,0.0,0.0,0.0,13.0,4.0,1.1,0.294,11.4,41.0,15.0,4.2,0.104,2.0,15.64,4.6000000000000005,0.0,3.61,1.21,0.438,0.241,0.258,21.609406,36.210356,20.065877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.73
671,Kyle Backhus,ARI,29615,679775.0,138.468,31.9,0.0,29.84,16.49,0.0,0.0,0.0,15.0,4.0,1.1,0.213,8.2,29.0,11.0,3.1,0.077,4.0,19.32,5.5200000000000005,1.0,4.23,1.28,0.516,0.228,0.21,23.139979999999998,46.57536399999999,23.041511999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.27
672,Joey Gerber,NYM,24591,680702.0,137.812,31.8,0.0,27.0,15.52,0.0,0.0,0.0,14.0,4.0,1.1,0.244,9.6,34.0,13.0,3.7,0.094,2.0,17.48,5.5200000000000005,0.0,3.96,1.26,0.42,0.243,0.268,23.974368000000005,38.5951,21.931098000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.49
674,Joe Rock,TB,30016,697812.0,133.935,30.7,1.62,27.92,14.549999999999999,0.0,0.7,0.0,13.0,4.0,1.2,0.226,8.8,30.0,12.0,3.5,0.087,1.0,18.400000000000002,5.5200000000000005,0.0,3.81,1.3,0.479,0.238,0.229,22.4781075,41.7844575,21.972465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.47
675,Anthony Molina,COL,26952,683627.0,132.392,30.1,0.0,32.68000000000001,16.49,0.0,0.0,0.0,15.0,5.0,1.5,0.162,6.3,21.0,7.0,2.1,0.053,1.0,20.240000000000002,6.44,1.0,4.49,1.32,0.442,0.241,0.255,26.88094,45.514911999999995,25.106275999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.01
682,Scott McGough,FA,12056,543518.0,130.208,30.0,0.0,26.160000000000004,14.549999999999999,0.0,0.0,0.0,13.0,5.0,1.5,0.242,9.6,32.0,12.0,3.6,0.093,1.0,16.560000000000002,4.6000000000000005,0.0,3.9,1.27,0.436,0.241,0.259,22.370976,37.328064,20.733024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.45
684,Joey Estes,OAK,26257,683155.0,127.768,29.7,0.0,28.0,15.52,0.0,0.0,0.0,14.0,5.0,1.5,0.163,6.4,21.0,8.0,2.4,0.066,3.0,17.48,5.5200000000000005,0.0,4.24,1.21,0.277,0.221,0.363,30.766232,34.914488000000006,22.766023999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.32
685,Shinnosuke Ogasawara,WSH,35324,829272.0,130.321,29.5,0.0,27.92,14.549999999999999,0.0,0.0,0.0,13.0,4.0,1.2,0.185,7.3,24.0,11.0,3.4,0.087,2.0,18.400000000000002,5.5200000000000005,0.0,3.97,1.32,0.421,0.242,0.268,25.164744,40.559085499999995,22.972361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.34
686,Easton McGee,MIL,22176,668834.0,128.866,29.5,0.0,28.84,14.549999999999999,0.0,0.0,0.0,13.0,4.0,1.2,0.179,7.0,23.0,9.0,2.7,0.071,1.0,19.32,5.5200000000000005,0.0,3.97,1.28,0.515,0.228,0.211,22.811943000000003,45.76918500000001,22.666644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.38
687,Bradley Blalock,COL,26419,687134.0,134.207,29.0,3.24,32.68000000000001,17.46,1.0,1.1,0.0,16.0,5.0,1.6,0.125,5.3,17.0,12.0,3.7,0.092,1.0,20.240000000000002,6.44,1.0,4.97,1.54,0.422,0.242,0.268,27.774648,44.81818199999999,25.354886999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.95
688,Jesse Scholtens,TB,19205,669947.0,127.389,28.8,0.0,29.92,16.49,0.0,0.0,0.0,15.0,5.0,1.6,0.169,6.9,22.0,10.0,3.1,0.079,1.0,18.400000000000002,5.5200000000000005,1.0,4.69,1.39,0.411,0.243,0.274,25.468863,40.111074499999994,23.036443499999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
691,Drew Sommers,DET,32026,805427.0,120.586,28.1,0.0,24.160000000000004,12.61,0.0,0.0,0.0,12.0,3.0,1.0,0.24,9.3,29.0,10.0,3.2,0.083,1.0,16.560000000000002,4.6000000000000005,0.0,3.84,1.22,0.564,0.222,0.18,17.94892,40.548242,18.846366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.51
697,Michael Mercado,PHI,23223,675650.0,124.224,27.7,0.0,25.160000000000004,14.549999999999999,0.0,0.0,0.0,13.0,4.0,1.3,0.2,8.1,25.0,13.0,4.2,0.106,1.0,16.560000000000002,4.6000000000000005,0.0,4.22,1.38,0.468,0.239,0.235,21.34044,38.714576,20.650648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.15
698,Bobby Miller,LAD,27483,676272.0,119.966,27.5,0.0,25.240000000000002,14.549999999999999,0.0,0.0,0.0,13.0,5.0,1.6,0.225,8.8,27.0,10.0,3.3,0.08,1.0,15.64,4.6000000000000005,0.0,4.25,1.28,0.462,0.24,0.24,20.7415,37.002835999999995,19.911839999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.31
699,Casey Legumina,SEA,25921,668984.0,119.76,27.3,0.0,24.240000000000002,13.58,0.0,0.0,0.0,13.0,4.0,1.3,0.225,8.9,27.0,12.0,4.0,0.1,1.0,15.64,4.6000000000000005,0.0,4.29,1.33,0.439,0.241,0.257,20.87646,35.09022,19.42278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.14
700,Keaton Winn,SF,23499,676775.0,117.796,27.0,0.0,26.0,13.58,0.0,0.0,0.0,13.0,3.0,1.0,0.204,8.0,24.0,9.0,3.0,0.073,2.0,17.48,5.5200000000000005,0.0,4.33,1.3,0.528,0.229,0.2,19.50308,40.617284000000005,19.884662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.17
701,Jose Espada,BAL,21131,664744.0,112.117,26.3,0.0,19.560000000000002,11.64,0.0,0.0,0.0,11.0,3.0,1.0,0.298,11.3,33.0,11.0,3.8,0.102,1.0,12.88,3.68,0.0,3.76,1.16,0.463,0.241,0.239,16.9951915,30.414240500000002,16.3821385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.61
702,Thomas Harrington,PIT,31989,802419.0,113.882,26.2,3.24,25.16,13.58,1.0,1.3,0.0,13.0,4.0,1.4,0.205,7.9,23.0,9.0,3.1,0.081,1.0,15.64,5.5200000000000005,0.0,4.47,1.3,0.387,0.242,0.291,22.558491,33.448797,19.733562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.55
712,Easton Lucas,TOR,26058,687922.0,115.434,25.6,0.0,23.32,13.58,0.0,0.0,0.0,13.0,4.0,1.4,0.203,8.1,23.0,13.0,4.6,0.111,1.0,14.72,4.6000000000000005,0.0,4.57,1.42,0.371,0.239,0.301,22.281236999999997,31.813316999999998,19.024442999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
713,Cole Wilcox,SEA,27481,677961.0,111.206,25.3,0.0,23.240000000000002,12.61,0.0,0.0,0.0,12.0,3.0,1.1,0.195,7.8,22.0,10.0,3.6,0.087,1.0,15.64,4.6000000000000005,0.0,4.27,1.31,0.521,0.229,0.206,18.454998,37.662453000000006,18.573807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.13
716,Jhonathan Diaz,SEA,20298,646242.0,114.642,25.1,1.62,24.240000000000002,13.58,0.0,0.8,0.0,13.0,4.0,1.4,0.166,6.8,19.0,13.0,4.7,0.115,1.0,15.64,4.6000000000000005,0.0,4.66,1.48,0.488,0.236,0.224,19.999364,37.932677999999996,19.668795999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
731,Jack Little,DET,26152,669193.0,100.789,23.4,0.0,19.560000000000002,10.67,0.0,0.0,0.0,10.0,3.0,1.2,0.241,9.2,24.0,9.0,3.5,0.093,1.0,12.88,3.68,0.0,3.85,1.22,0.376,0.241,0.297,18.879236499999998,27.318967,16.3032545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.39
732,Jovani Moran,BOS,20422,663558.0,102.652,23.4,0.0,19.560000000000002,11.64,0.0,0.0,0.0,11.0,3.0,1.2,0.261,10.4,27.0,11.0,4.2,0.111,0.0,11.96,4.6000000000000005,0.0,4.23,1.31,0.401,0.244,0.28,17.45604,26.862906,15.645783999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.2
736,Sammy Peralta,MIL,25589,671111.0,103.049,23.0,0.0,22.400000000000002,12.61,0.0,0.0,0.0,12.0,4.0,1.6,0.185,7.4,19.0,10.0,3.9,0.096,0.0,13.8,4.6000000000000005,0.0,4.7,1.41,0.411,0.243,0.274,19.771083000000004,31.137604500000002,17.8828335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
737,Jake Bloss,TOR,33168,814005.0,100.704,22.7,1.62,20.48,11.64,0.0,0.3,0.0,11.0,3.0,1.2,0.217,8.7,22.0,10.0,4.0,0.099,1.0,13.8,3.68,0.0,4.36,1.34,0.48,0.237,0.229,16.798128,31.260319999999993,16.385903999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.15
748,Adam Mazur,MIA,31900,800049.0,97.904,21.5,1.62,21.400000000000002,11.64,0.0,0.5,0.0,11.0,3.0,1.3,0.156,6.3,15.0,10.0,4.2,0.105,1.0,13.8,4.6000000000000005,0.0,4.6,1.46,0.381,0.243,0.293,20.157955999999995,29.562571999999996,17.606316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
749,Ryan Loutos,SEA,29521,702795.0,95.694,21.4,0.0,20.48,10.67,0.0,0.0,0.0,10.0,3.0,1.3,0.168,6.7,16.0,9.0,3.8,0.092,1.0,13.8,3.68,0.0,4.21,1.38,0.531,0.229,0.197,16.153579,33.968467000000004,16.577742999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.04
753,Landon Knack,LAD,27487,689017.0,89.978,20.8,1.62,18.72,10.67,1.0,0.5,0.0,10.0,4.0,1.7,0.23,9.1,21.0,8.0,3.5,0.091,1.0,11.040000000000001,3.68,0.0,4.33,1.28,0.338,0.232,0.325,17.836064999999998,23.415551999999998,14.390807999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
759,Didier Fuentes,ATL,30661,800311.0,84.459,19.8,0.0,15.8,8.73,0.0,0.0,0.0,8.0,2.0,0.9,0.272,10.5,23.0,7.0,3.2,0.084,1.0,11.040000000000001,2.7600000000000002,0.0,3.64,1.15,0.475,0.237,0.232,13.396914,24.6426975,12.988471500000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.57
762,Cam Sanders,PIT,23479,676742.0,80.826,18.3,0.0,13.96,8.73,0.0,0.0,0.0,8.0,2.0,1.0,0.271,10.8,22.0,10.0,4.9,0.129,1.0,9.200000000000001,2.7600000000000002,0.0,3.93,1.31,0.483,0.238,0.226,11.864717999999998,22.289068999999998,11.669413999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.26
777,Lazaro Estrada,TOR,24914,681751.0,76.174,17.5,0.0,14.96,8.73,0.0,0.0,0.0,8.0,3.0,1.5,0.241,9.3,18.0,7.0,3.6,0.088,1.0,9.200000000000001,2.7600000000000002,0.0,4.11,1.25,0.391,0.242,0.289,14.047263000000001,21.006927,12.332934000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.32
790,Chase Lee,DET,29574,695445.0,68.143,16.0,0.0,13.96,7.76,0.0,0.0,0.0,7.0,2.0,1.1,0.24,9.0,16.0,5.0,2.8,0.072,1.0,9.200000000000001,2.7600000000000002,0.0,3.94,1.18,0.398,0.245,0.282,12.775753000000002,19.517202,11.4321775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.34
803,Alex Lange,DET,19883,656638.0,60.764,13.9,0.0,11.200000000000001,6.79,0.0,0.0,0.0,6.0,2.0,1.3,0.266,10.4,16.0,7.0,4.5,0.122,1.0,7.36,1.84,0.0,3.88,1.31,0.499,0.231,0.22,9.063360000000001,17.541378,8.893422000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.27
804,Blas Castano,SEA,26117,680604.0,60.163,13.8,0.0,13.040000000000001,6.79,0.0,0.0,0.0,6.0,2.0,1.3,0.196,7.8,12.0,5.0,3.3,0.087,1.0,8.280000000000001,2.7600000000000002,0.0,3.91,1.31,0.48,0.238,0.228,10.531771999999998,19.639165,10.315957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.23
805,Jared Shuster,OAK,27472,694363.0,61.377,13.8,0.0,13.040000000000001,6.79,0.0,0.0,0.0,6.0,2.0,1.3,0.155,6.5,10.0,5.0,3.3,0.089,0.0,8.280000000000001,2.7600000000000002,0.0,3.91,1.31,0.378,0.24,0.297,12.9159945,18.736308,11.13048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.22
807,Michael Darrell-Hicks,PIT,31501,690382.0,52.448,12.0,0.0,10.200000000000001,5.82,0.0,0.0,0.0,5.0,1.0,0.8,0.236,9.0,12.0,5.0,3.8,0.086,1.0,7.36,1.84,0.0,3.75,1.27,0.497,0.233,0.219,8.489796,16.430148000000003,8.383452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.26
818,Josh Walker,ATL,23617,677020.0,51.746,11.8,0.0,11.200000000000001,5.82,0.0,0.0,0.0,5.0,2.0,1.5,0.225,9.2,12.0,5.0,3.8,0.093,0.0,7.36,1.84,0.0,3.81,1.37,0.505,0.229,0.216,8.269548,16.243755000000004,8.147937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.22
