,Pitcher,Team,FGID,SAVID,TBF,IP,GS,H,R,W,QS,SV,ER,HR,HR/9,K%,K/9,K,BB,BB/9,BB%,HBP,1B,2B,3B,ERA,WHIP,GB%,LD%,FB%,FB,GB,LD,L,G,HLD,BS,IBB,K/BB,K-BB%,AVG,BABIP,LOB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,MLBAMID,MLBID,$,Deep $
413,Brendon Little,TOR,21574,663893.0,259.067,59.1,0.0,48.400000000000006,28.13,0.0,0.0,0.0,26.0,6.0,0.9,0.274,10.8,71.0,31.0,4.7,0.121,2.0,32.2,9.200000000000001,1.0,3.96,1.34,0.632,0.206,0.141,31.491933500000002,83.40257700000001,35.025940999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.6
414,Caleb Ferguson,FA,19349,657571.0,255.646,59.1,0.0,54.0,29.099999999999998,0.0,0.0,0.0,27.0,7.0,1.1,0.218,8.5,56.0,20.0,3.0,0.08,6.0,35.88,10.120000000000001,1.0,4.11,1.25,0.496,0.232,0.221,43.204862999999996,83.17609799999998,42.39645599999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.59
415,Luke Little,CHC,28036,681432.0,257.621,59.0,0.0,47.480000000000004,29.099999999999998,0.0,0.0,0.0,27.0,6.0,0.9,0.266,10.5,69.0,29.0,4.4,0.113,8.0,32.2,8.280000000000001,1.0,4.12,1.3,0.581,0.219,0.171,34.3983255,80.68841549999998,36.633019499999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.59
416,Tyler Ferguson,OAK,19481,621053.0,261.324,58.9,0.0,50.400000000000006,31.04,0.0,0.0,2.0,29.0,8.0,1.2,0.245,9.8,64.0,31.0,4.7,0.117,3.0,31.28,10.120000000000001,1.0,4.43,1.38,0.367,0.239,0.302,46.73704400000001,66.280114,39.834598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.24
417,Logan Evans,SEA,33699,688138.0,259.351,58.9,6.48,56.92,31.04,2.0,2.1,0.0,29.0,9.0,1.4,0.181,7.2,47.0,22.0,3.4,0.085,3.0,35.88,11.040000000000001,1.0,4.43,1.34,0.418,0.243,0.27,50.443015,80.70882399999999,45.9697665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.6
418,Wandy Peralta,SD,14295,593974.0,258.398,58.8,0.0,55.84,29.099999999999998,0.0,0.0,0.0,27.0,7.0,1.1,0.193,7.7,50.0,22.0,3.4,0.084,5.0,37.72,10.120000000000001,1.0,4.13,1.32,0.553,0.225,0.183,41.28715700000001,91.61461700000002,43.337535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.35
419,Colin Selby,BAL,24986,681882.0,256.082,58.8,0.0,51.24,28.13,0.0,0.0,0.0,26.0,7.0,1.1,0.241,9.5,62.0,25.0,3.8,0.096,1.0,34.04,9.200000000000001,1.0,3.98,1.3,0.537,0.229,0.191,38.127991,81.751147,39.649728999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.67
420,Pete Fairbanks,FA,17998,664126.0,250.522,58.6,0.0,52.24000000000001,28.13,0.0,0.0,0.0,26.0,8.0,1.2,0.239,9.2,60.0,19.0,2.9,0.077,2.0,33.120000000000005,10.120000000000001,1.0,3.99,1.22,0.428,0.241,0.265,45.024525,73.582938,41.251040999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,1.89
421,Jack Kochanowicz,LAA,27688,686799.0,265.325,58.4,4.86,63.44,33.949999999999996,2.0,2.3,4.0,31.0,10.0,1.5,0.14,5.7,37.0,22.0,3.4,0.082,5.0,41.4,11.040000000000001,1.0,4.78,1.46,0.532,0.229,0.196,47.0421,99.242325,48.38321249999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.19
422,Gregory Soto,FA,19677,642397.0,249.05,58.1,0.0,49.32000000000001,27.16,0.0,0.0,0.0,25.0,6.0,0.9,0.254,9.8,63.0,22.0,3.4,0.087,7.0,32.2,10.120000000000001,1.0,3.87,1.23,0.5,0.231,0.219,39.289975,76.28325,38.633775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.93
