,Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID,MLBID
501,Rolddy Munoz,ATL,0.866084,0.565207,0.0,3.96102,22,0,0,0.6594,,15.6551,67.2881,14.0349,7.38,6.89,1.5079,6.51964,0.59638,0.910692,16.6255,9.55788,3.7481,2.55006,0.866884,0.247079,0.0968913,0.150187499821186,0.234471,1.31297,0.300232,0.71432,,,3.68721,0.152582,0.139543,999.0,,,,,,,71.4,4.4625,68,4.25,,,,,,,,,,,,,,,,,,,Rolddy Munoz,27407,691548,691548.0
502,Taylor Clarke,,2.703,3.13136,0.0,4.48923,49,0,0,0.0,,49.6188,210.646,47.8804,26.52,24.75,8.06546,14.1818,0.971375,2.126,44.0612,7.99195,2.57234,3.10687,1.46294,0.209172,0.0673256,0.1418465003371238,0.246377,1.25078,0.27997,0.700056,,,4.45827,0.15257,-0.0888744,999.0,,,,,,,186.8,3.736,186,3.72,,,,,,,,,,,,,,,,,,,Taylor Clarke,17611,664199,664199.0
503,RJ Petit,COL,1.86023,1.7667,0.0,4.84948,52,0,0,0.0,,41.1261,180.662,42.4383,23.78,22.16,5.22945,15.3915,1.26808,2.23825,38.4745,8.41973,3.36826,2.49973,1.14441,0.212964,0.0851949,0.1277692690491676,0.260306,1.40616,0.31182,0.674139,,,4.20314,0.149322,-0.26189,999.0,,,,,,,157.70000000000005,3.8463414634146353,165,4.024390243902439,,,,,,,,,,,,,,,,,,,RJ Petit,sa3017848,696275,
504,Kervin Castro,NYY,1.30919,0.867698,0.0,4.00015,34,0,0,0.6929,,21.1942,89.9335,18.7554,10.08,9.42,2.3891,7.82085,0.575559,1.02556,19.9919,8.48946,3.32108,2.55624,1.01452,0.222297,0.0869626,0.135334238409996,0.231299,1.25394,0.278784,0.710081,,,3.96619,0.148646,0.0995916,999.0,,,,,,,98.4,4.685714285714286,96,4.571428571428571,,,,,,,,,,,,,,,,,,,Kervin Castro,21656,665645,665645.0
505,Ty Madden,DET,1.21745,1.36089,0.555085,4.68105,20,2,0,0.6104,,28.1283,121.585,26.7345,15.71,14.63,4.36534,10.8059,0.56622,1.33338,26.8535,8.5921,3.45747,2.48508,1.39674,0.220862,0.0888751,0.1319865956902504,0.244272,1.33461,0.285952,0.694595,,,4.538,0.147737,-0.0386486,999.0,,,,,,,109.80000000000004,3.9214285714285735,110,3.928571428571429,,,,,,,,,,,,,,,,,,,Ty Madden,30140,680744,680744.0
506,Cole Winn,TEX,2.41012,1.81767,0.0,4.18973,63,0,0,11.3279,,44.0577,190.584,37.0092,21.89,20.51,4.80369,21.7974,1.26731,2.62599,41.8662,8.55232,4.45271,1.9207,0.981285,0.219673,0.114371,0.1053014621138572,0.222731,1.33476,0.269522,0.708824,,,4.31508,0.146959,0.101346,999.0,,,,,,,220.90000000000003,5.020454545454546,208,4.727272727272728,,,,,,,,,,,,,,,,,,,Cole Winn,22113,668390,668390.0
507,Marco Raya,MIN,0.856463,0.569166,0.0,3.76291,22,0,0,0.0,,14.2071,59.9197,11.9921,6.36,5.94,1.54374,5.37276,0.39118,0.745818,14.4408,9.14805,3.40357,2.68778,0.977939,0.241003,0.089666,0.1513366773724556,0.222896,1.22227,0.27629,0.723831,,,3.80683,0.146583,0.134934,999.0,,,,,,,57.800000000000026,4.128571428571431,54,3.857142857142857,,,,,,,,,,,,,,,,,,,Marco Raya,sa3014550,694397,
508,Tyler Uberstine,BOS,1.27288,1.30405,0.552291,4.60563,20,2,0,0.0,,27.8268,119.411,27.3307,15.25,14.24,4.01525,9.17465,0.488962,1.18928,23.7772,7.69023,2.96735,2.59162,1.29865,0.19912,0.0768324,0.1222877204418182,0.250632,1.31188,0.286942,0.688232,,,4.41935,0.146383,0.0625341,999.0,,,,,,,105.8,3.778571428571429,106,3.7857142857142856,,,,,,,,,,,,,,,,,,,Tyler Uberstine,sa3017643,700413,
509,Kyle Backhus,PHI,1.2107,0.851527,0.0,4.07146,31,0,0,0.6501,,21.8619,94.1854,20.3809,10.62,9.89,2.11862,8.81392,0.640897,1.06963,19.8971,8.19113,3.62847,2.25746,0.872183,0.211255,0.0935806,0.1176743060350418,0.241762,1.33542,0.293201,0.708186,,,3.93097,0.145194,0.0506729,999.0,,,,,,,100.20000000000002,4.554545454545456,98,4.454545454545454,,,,,,,,,,,,,,,,,,,Kyle Backhus,29615,679775,679775.0
510,Miguel Ullola,HOU,0.953076,0.605425,0.0,3.7376,24,0,0,0.0,,18.1319,77.3225,12.6383,8.01,7.53,1.99484,10.4333,0.506372,1.21472,22.6226,11.229,5.1787,2.1683,0.990161,0.292575,0.134933,0.1576420962810516,0.192439,1.27243,0.259237,0.742726,,,3.99725,0.1448,0.14412,999.0,,,,,,,87.80000000000003,4.877777777777779,77,4.277777777777778,,,,,,,,,,,,,,,,,,,Miguel Ullola,sa3016504,699044,
511,Nick Sandlin,TOR,2.35246,2.51157,0.0,4.13035,41,0,0,0.0,,41.6188,177.661,33.9018,20.43,19.1,5.44394,19.3205,1.18912,2.71525,41.8415,9.04816,4.17803,2.16565,1.17724,0.235513,0.108749,0.126763567328453,0.217842,1.2788,0.262672,0.719117,,,4.4133,0.140529,0.199271,999.0,,,,,,,178.9,4.2595238095238095,163,3.880952380952381,,,,,,,,,,,,,,,,,,,Nick Sandlin,20517,680704,680704.0
512,Trent Thornton,,2.69745,3.27798,0.0,4.67969,50,0,0,0.0,,50.6188,219.075,49.9397,28.25,26.32,6.99387,18.0008,1.03401,2.7686,43.2634,7.69222,3.20054,2.40342,1.24351,0.197483,0.0821674,0.1153150796890258,0.251832,1.3422,0.29008,0.682564,,,4.45286,0.14,-0.137402,999.0,,,,,,,184.30000000000007,3.61372549019608,187,3.6666666666666665,,,,,,,,,,,,,,,,,,,Trent Thornton,17948,663423,663423.0
513,Gavin Hollowell,CHC,0.842981,0.564613,0.0,3.74001,20,0,0,0.7242,,14.5107,60.9756,11.5994,6.44,6.03,1.57852,5.97102,0.402963,0.822761,15.0693,9.34649,3.70342,2.52374,0.979047,0.247137,0.0979247,0.1492121666669845,0.214082,1.21086,0.26698,0.724612,,,3.87689,0.139928,0.188937,999.0,,,,,,,68.2,4.546666666666667,62,4.133333333333334,,,,,,,,,,,,,,,,,,,Gavin Hollowell,25427,668970,668970.0
514,Julian Aguiar,CIN,1.59309,1.80414,0.558345,4.62081,32,2,0,0.6661,,37.6297,161.231,37.7158,20.68,19.32,5.74845,10.9576,0.8834,1.98974,29.1541,6.97286,2.62076,2.66062,1.37487,0.180822,0.0679625,0.1128599792718887,0.25435,1.29348,0.281947,0.689059,,,4.60376,0.139241,-0.0211855,999.0,,,,,,,131.59999999999997,3.4631578947368413,135,3.5526315789473686,,,,,,,,,,,,,,,,,,,Julian Aguiar,30031,687924,687924.0
515,Ben Kudrna,KC,1.04362,1.16418,0.547633,4.54379,14,2,0,0.0,,21.0749,91.272,20.5778,11.41,10.64,2.81176,8.08084,0.351342,0.944779,18.0856,7.72341,3.4509,2.23808,1.20076,0.19815,0.0885358,0.109614573419094,0.250197,1.35984,0.289589,0.697699,,,4.43804,0.138349,0.0927878,999.0,,,,,,,72.9,3.4714285714285715,75,3.571428571428572,,,,,,,,,,,,,,,,,,,Ben Kudrna,sa3018253,695667,
516,Colin Holderman,CLE,1.42844,1.39663,0.0,4.27136,42,0,0,0.6864,,28.5506,123.275,26.1038,14.49,13.55,3.12892,11.8961,0.558745,1.8777,25.2179,7.94942,3.75001,2.11984,0.986329,0.204566,0.096501,0.1080653890967369,0.238389,1.33097,0.283102,0.699296,,,4.2406,0.138046,0.118008,999.0,,,,,,,122.10000000000002,4.210344827586208,118,4.068965517241379,,,,,,,,,,,,,,,,,,,Colin Holderman,22361,670059,670059.0
