,Pitcher,Team,$,GS,IP,IP 180,K,ERA,WHIP,W,H,ER,FPts,Proj Rank,ADP,ADP Rank,Rank Diff
194,McCade Brown,COL,5.98,15.0,82.5,180,176,4.45,1.37,8,168,89,235.02,191.0,707.0,194.0,-3.0
162,Taijuan Walker,PHI,5.95,16.0,114.5,180,135,4.55,1.39,7,184,91,220.03,192.0,668.3,182.0,10.0
199,Brandon Sproat,MIL,5.91,11.0,78.1,180,163,4.0,1.28,6,167,80,224.73,193.0,468.6,137.0,56.0
189,Robert Gasser,MIL,5.83,12.0,87.5,180,154,4.4,1.24,6,172,88,211.27,194.0,546.5,158.0,36.0
205,Alex Cobb,FA,5.57,10.0,60.8,180,171,3.8,1.21,8,168,76,226.8,195.0,500.0,147.5,47.5
192,Keider Montero,DET,5.22,10.0,84.5,180,151,4.25,1.3,6,173,85,204.52,196.0,717.9,196.0,0.0
195,Rhett Lowder,CIN,4.96,11.0,81.6,180,156,4.3,1.37,6,174,86,200.0,197.0,497.4,144.0,53.0
177,Jose Urquidy,FA,4.78,18.0,101.4,180,133,4.5,1.39,10,179,90,201.75,198.0,723.0,197.0,1.0
202,Bryce Elder,ATL,4.7,11.0,71.0,180,159,4.15,1.31,10,177,83,208.95,199.0,643.2,176.0,23.0
204,Spencer Turnbull,FA,4.02,12.0,64.0,180,165,4.35,1.33,8,170,87,184.4,200.0,500.0,147.5,52.5
203,Drew Thorpe,CWS,3.92,12.0,66.8,180,158,4.3,1.33,10,168,86,189.1,201.0,654.0,180.0,21.0
198,Cal Quantrill,FA,3.77,15.0,78.6,180,139,4.35,1.32,9,177,87,171.05,202.0,500.0,147.5,54.5
166,Roki Sasaki,LAD,1.93,18.0,111.6,180,101,5.15,1.56,8,197,103,105.1,203.0,215.1,63.0,140.0
