,BatterName,batter,IsBIP,PA_flag,IsAirPull,Air Pull / PA,Air Pull / BIP,Sample,player_name,pitcher
255,Jacob Melton,689200.0,34,64.0,0,0.0,0.0,Hitters,,
256,Jacob Stallings,607732.0,80,129.0,12,0.093,0.15,Hitters,,
257,Jacob Wilson,805779.0,348,403.0,45,0.112,0.129,Hitters,,
258,Jacob Young,696285.0,230,307.0,13,0.042,0.057,Hitters,,
259,Jahmai Jones,663330.0,67,100.0,9,0.09,0.134,Hitters,,
260,Jake Bauers,641343.0,83,154.0,11,0.071,0.133,Hitters,,
261,Jake Burger,669394.0,221,309.0,27,0.087,0.122,Hitters,,
262,Jake Cronenworth,630105.0,251,400.0,37,0.092,0.147,Hitters,,
263,Jake Fraley,641584.0,127,192.0,29,0.151,0.228,Hitters,,
264,Jake Mangum,663968.0,262,328.0,11,0.034,0.042,Hitters,,
265,Jake McCarthy,664983.0,110,151.0,13,0.086,0.118,Hitters,,
266,Jake Meyers,676694.0,235,322.0,22,0.068,0.094,Hitters,,
267,Jake Rogers,668670.0,70,116.0,11,0.095,0.157,Hitters,,
268,Jakob Marsee,805300.0,55,85.0,9,0.106,0.164,Hitters,,
269,James McCann,543510.0,57,89.0,4,0.045,0.07,Hitters,,
270,James Outman,681546.0,32,67.0,4,0.06,0.125,Hitters,,
271,James Wood,695578.0,313,549.0,29,0.053,0.093,Hitters,,
272,Jared Triolo,669707.0,164,236.0,21,0.089,0.128,Hitters,,
273,Jared Young,676724.0,27,45.0,3,0.067,0.111,Hitters,,
274,Jarred Kelenic,672284.0,37,65.0,5,0.077,0.135,Hitters,,
275,Jarren Duran,680776.0,375,568.0,44,0.077,0.117,Hitters,,
276,Jason Heyward,518792.0,68,95.0,10,0.105,0.147,Hitters,,
277,Jasson Dominguez,691176.0,248,396.0,25,0.063,0.101,Hitters,,
278,Javier Baez,595879.0,272,378.0,46,0.122,0.169,Hitters,,
279,Javier Sanoja,691594.0,217,269.0,33,0.123,0.152,Hitters,,
280,Jazz Chisholm,665862.0,237,401.0,44,0.11,0.186,Hitters,,
281,Jeff McNeil,643446.0,268,343.0,57,0.166,0.213,Hitters,,
282,Jeimer Candelario,600869.0,53,91.0,10,0.11,0.189,Hitters,,
283,Jerar Encarnacion,666464.0,23,30.0,4,0.133,0.174,Hitters,,
284,Jeremiah Jackson,669236.0,46,61.0,4,0.066,0.087,Hitters,,
285,Jeremy Pena,665161.0,325,430.0,55,0.128,0.169,Hitters,,
286,Jesse Winker,608385.0,51,79.0,13,0.165,0.255,Hitters,,
287,Jesus Sanchez,660821.0,294,411.0,37,0.09,0.126,Hitters,,
288,Jhonkensy Noel,678877.0,73,111.0,15,0.135,0.205,Hitters,,
289,Jhonny Pereda,640902.0,27,46.0,4,0.087,0.148,Hitters,,
290,Jhostynxon Garcia,691373.0,0,4.0,0,0.0,,Hitters,,
291,Ji Hwan Bae,678225.0,6,12.0,0,0.0,0.0,Hitters,,
292,Jo Adell,666176.0,298,457.0,47,0.103,0.158,Hitters,,
293,Joc Pederson,592626.0,137,211.0,26,0.123,0.19,Hitters,,
294,Joey Bart,663698.0,161,276.0,23,0.083,0.143,Hitters,,
295,Joey Loperfido,694388.0,59,89.0,9,0.101,0.153,Hitters,,
296,Joey Ortiz,687401.0,342,434.0,31,0.071,0.091,Hitters,,
297,Joey Wiemer,686894.0,2,7.0,0,0.0,0.0,Hitters,,
298,Johan Rojas,679032.0,119,172.0,11,0.064,0.092,Hitters,,
299,John Rave,670231.0,99,156.0,12,0.077,0.121,Hitters,,
300,Johnathan Rodriguez,671286.0,44,70.0,4,0.057,0.091,Hitters,,
301,Jon Berti,542932.0,78,107.0,5,0.047,0.064,Hitters,,
302,Jon Singleton,572138.0,8,9.0,0,0.0,0.0,Hitters,,
303,Jonah Bride,681146.0,74,124.0,12,0.097,0.162,Hitters,,
304,Jonah Heim,641680.0,261,362.0,40,0.11,0.153,Hitters,,
305,Jonatan Clase,682729.0,73,112.0,9,0.08,0.123,Hitters,,
306,Jonathan Aranda,666018.0,259,406.0,53,0.131,0.205,Hitters,,
307,Jonathan India,663697.0,362,510.0,67,0.131,0.185,Hitters,,
308,Jonathan Ornelas,680716.0,6,10.0,0,0.0,0.0,Hitters,,
309,Jonny DeLuca,676356.0,44,59.0,9,0.153,0.205,Hitters,,
310,Jorbit Vivas,678391.0,43,66.0,5,0.076,0.116,Hitters,,
311,Jordan Beck,687597.0,298,468.0,48,0.103,0.161,Hitters,,
312,Jordan Lawlar,691783.0,10,22.0,2,0.091,0.2,Hitters,,
313,Jordan Walker,691023.0,182,298.0,19,0.064,0.104,Hitters,,
314,Jordan Westburg,676059.0,217,303.0,21,0.069,0.097,Hitters,,
315,Jordyn Adams,677941.0,3,5.0,0,0.0,0.0,Hitters,,
316,Jorge Barrosa,678489.0,27,38.0,7,0.184,0.259,Hitters,,
317,Jorge Mateo,622761.0,38,65.0,4,0.062,0.105,Hitters,,
318,Jorge Polanco,593871.0,302,402.0,56,0.139,0.185,Hitters,,
319,Jorge Soler,624585.0,188,315.0,29,0.092,0.154,Hitters,,
320,Jose Altuve,514888.0,404,534.0,78,0.146,0.193,Hitters,,
321,Jose Azocar,640492.0,18,21.0,0,0.0,0.0,Hitters,,
322,Jose Barrero,676480.0,20,31.0,5,0.161,0.25,Hitters,,
323,Jose Caballero,676609.0,181,304.0,29,0.095,0.16,Hitters,,
324,Jose Fermin,665877.0,19,25.0,5,0.2,0.263,Hitters,,
325,Jose Herrera,645444.0,133,204.0,16,0.078,0.12,Hitters,,
326,Jose Iglesias,578428.0,208,284.0,17,0.06,0.082,Hitters,,
327,Jose Miranda,669304.0,23,36.0,6,0.167,0.261,Hitters,,
