,Player,Team,FGID,SAVID,Age,PA,AB,BIP,K,K%,BB,BB%,SF,HBP,BABIP,Brl%,Solid%,Flare%,Topped%,Under%,Weak%,H,1B,2B,3B,HR,TB,AVG,OBP,SLG,OPS,R,RBI,SB Att,SB,CS,Pos,$,Deep $,G
0,Nick Yorke,PIT,27504,694377.0,22,319.0,294.0,218.0,76.0,0.2396491228070175,21.0,0.06651629072681704,1.0,3.0,0.323,0.062,0.062,0.263,0.347,0.225,0.04,70.0,48.0,14.0,1.0,8.0,115.0,0.24,0.297,0.372,0.67,35.0,35.0,10.8,8.3,3.0,2B,1.0,2.45,71.0
0,Luis Campusano,SD,22217,669134.0,26,319.0,293.0,243.0,51.0,0.15919999999999998,22.0,0.06913142857142858,1.0,3.0,0.299,0.052,0.051,0.25,0.369,0.252,0.027,73.0,50.0,14.0,1.0,8.0,114.0,0.248,0.306,0.383,0.689,35.0,36.0,2.1,2.0,0.0,UT,1.0,1.6,71.0
0,Austin Martin,MIN,27462,668885.0,26,306.0,272.0,217.0,56.0,0.18219999999999997,29.0,0.09536,0.0,4.0,0.346,0.044,0.043,0.325,0.317,0.208,0.064,75.0,53.0,15.0,1.0,6.0,116.0,0.276,0.354,0.403,0.757,36.0,30.0,11.3,8.8,3.0,OF,1.0,2.47,68.0
0,Casey Schmitt,SF,27577,669477.0,26,322.0,297.0,222.0,75.0,0.23299999999999998,20.0,0.06213714285714286,1.0,4.0,0.315,0.08,0.066,0.255,0.266,0.289,0.044,70.0,44.0,15.0,1.0,11.0,121.0,0.236,0.294,0.398,0.692,36.0,38.0,5.5,4.3,1.0,"2B, 3B",1.0,2.49,72.0
0,Jake Cronenworth,SD,18036,630105.0,31,541.0,466.0,361.0,107.0,0.1973,62.0,0.11514285714285714,1.0,11.0,0.311,0.071,0.053,0.249,0.302,0.271,0.053,112.0,74.0,22.0,2.0,13.0,182.0,0.241,0.343,0.383,0.726,56.0,56.0,7.2,5.1,2.0,2B,1.0,4.82,120.0
0,Freddy Fermin,SD,21840,666023.0,29,395.0,368.0,294.0,74.0,0.1875,24.0,0.06028571428571429,1.0,3.0,0.305,0.046,0.047,0.256,0.324,0.266,0.062,90.0,64.0,16.0,1.0,9.0,135.0,0.244,0.295,0.364,0.659,42.0,42.0,3.9,2.5,1.0,C,1.0,2.39,88.0
0,Carson Williams,TB,30038,700246.0,21,343.0,315.0,201.0,115.0,0.3347169811320755,22.0,0.06377358490566037,1.0,5.0,0.313,0.098,0.067,0.215,0.293,0.27,0.056,63.0,38.0,12.0,1.0,12.0,121.0,0.2,0.262,0.361,0.623,38.0,38.0,15.1,11.4,4.0,SS,1.0,2.4,76.0
0,Lars Nootbaar,STL,21454,663457.0,27,444.0,392.0,303.0,90.0,0.2032,49.0,0.11109714285714285,1.0,2.0,0.316,0.097,0.072,0.218,0.306,0.27,0.036,96.0,59.0,20.0,1.0,15.0,168.0,0.244,0.331,0.419,0.75,56.0,49.0,8.3,6.2,2.0,OF,1.0,4.94,99.0
0,Nolan Arenado,STL,9777,571448.0,33,475.0,438.0,371.0,68.0,0.143328,33.0,0.06885714285714287,1.0,3.0,0.303,0.044,0.054,0.252,0.289,0.32,0.041,112.0,78.0,21.0,1.0,11.0,171.0,0.256,0.312,0.389,0.701,53.0,61.0,3.9,2.4,1.0,3B,1.0,4.63,106.0
0,Jeff McNeil,NYM,15362,643446.0,32,499.0,441.0,372.0,71.0,0.14144800000000002,45.0,0.09028571428571429,1.0,12.0,0.315,0.05,0.05,0.273,0.273,0.301,0.052,117.0,80.0,22.0,2.0,13.0,185.0,0.265,0.348,0.409,0.757,58.0,62.0,5.4,4.8,1.0,"2B, OF",1.0,5.58,111.0
0,Leo Jimenez,TOR,23782,677870.0,23,227.0,189.0,131.0,59.0,0.257504,25.0,0.10772857142857144,1.0,13.0,0.331,0.091,0.067,0.258,0.305,0.216,0.063,44.0,27.0,9.0,0.0,7.0,75.0,0.23,0.357,0.391,0.748,24.0,23.0,1.8,1.4,0.0,,1.0,1.0,50.0
0,Zack Gelof,OAK,29766,680869.0,25,351.0,320.0,203.0,118.0,0.3361,27.0,0.07587714285714285,1.0,3.0,0.34,0.097,0.069,0.224,0.311,0.253,0.046,69.0,40.0,15.0,1.0,13.0,133.0,0.215,0.282,0.388,0.67,41.0,41.0,12.1,10.2,2.0,2B,1.0,3.72,78.0
0,Mike Tauchman,CWS,15274,643565.0,34,349.0,304.0,227.0,78.0,0.22243200000000002,41.0,0.11685714285714285,1.0,4.0,0.325,0.072,0.066,0.251,0.282,0.294,0.035,74.0,48.0,15.0,1.0,9.0,120.0,0.243,0.338,0.39,0.728,42.0,30.0,3.7,3.0,1.0,OF,1.0,2.11,78.0
0,Dominic Canzone,SEA,26438,686527.0,27,424.0,389.0,291.0,100.0,0.23539999999999997,30.0,0.07175428571428573,1.0,3.0,0.352,0.128,0.056,0.252,0.331,0.208,0.027,102.0,60.0,22.0,1.0,19.0,186.0,0.263,0.32,0.471,0.792,56.0,58.0,7.0,4.7,2.0,OF,1.0,5.99,94.0
0,Jonah Heim,TEX,16930,641680.0,29,307.0,284.0,224.0,60.0,0.19690000000000002,21.0,0.06885714285714287,1.0,1.0,0.3,0.064,0.059,0.245,0.308,0.282,0.041,67.0,45.0,13.0,1.0,8.0,109.0,0.237,0.292,0.376,0.668,34.0,34.0,2.8,2.4,0.0,C,1.0,1.38,68.0
0,Jesse Winker,,13590,608385.0,31,331.0,287.0,214.0,73.0,0.22200000000000003,38.0,0.11599999999999999,1.0,5.0,0.338,0.072,0.048,0.264,0.321,0.257,0.038,72.0,47.0,16.0,1.0,9.0,120.0,0.253,0.35,0.409,0.759,38.0,41.0,7.8,5.5,2.0,UT,1.0,2.67,74.0
0,Luke Raley,SEA,19354,670042.0,30,433.0,382.0,257.0,125.0,0.2895,30.0,0.06971428571428571,1.0,20.0,0.32,0.104,0.068,0.203,0.329,0.223,0.074,82.0,48.0,18.0,1.0,16.0,153.0,0.216,0.306,0.389,0.695,48.0,51.0,8.4,6.6,2.0,"1B, OF",1.0,4.57,96.0
0,Alek Thomas,ARI,23792,677950.0,24,303.0,283.0,213.0,71.0,0.23312799999999997,16.0,0.05332571428571429,1.0,3.0,0.309,0.062,0.063,0.235,0.42,0.181,0.04,66.0,44.0,13.0,2.0,7.0,108.0,0.233,0.281,0.365,0.646,35.0,34.0,7.7,6.2,1.0,OF,1.0,2.03,67.0
0,Paul Goldschmidt,,9218,502671.0,37,463.0,429.0,318.0,112.0,0.24117999999999998,31.0,0.06598571428571429,1.0,2.0,0.325,0.088,0.077,0.261,0.292,0.255,0.027,103.0,69.0,20.0,1.0,13.0,169.0,0.241,0.295,0.386,0.68,53.0,59.0,5.7,4.7,1.0,1B,1.0,4.9,103.0
0,Brooks Baldwin,CWS,31394,681460.0,24,276.0,257.0,187.0,70.0,0.253768,18.0,0.06491428571428572,1.0,1.0,0.316,0.09,0.053,0.236,0.255,0.298,0.068,59.0,37.0,11.0,1.0,10.0,107.0,0.231,0.283,0.397,0.68,33.0,33.0,9.0,7.0,2.0,OF,1.0,2.36,61.0
0,Alex Freeland,LAD,31665,690976.0,23,266.0,235.0,155.0,81.0,0.30577319587628865,26.0,0.0962297496318115,1.0,4.0,0.314,0.079,0.072,0.241,0.322,0.253,0.033,49.0,30.0,10.0,1.0,8.0,90.0,0.207,0.295,0.359,0.654,30.0,29.0,8.4,7.0,1.0,3B,1.0,1.68,59.0
0,Mickey Gasper,MIN,24759,681508.0,29,208.0,182.0,136.0,47.0,0.22561403508771932,19.0,0.09157894736842105,1.0,6.0,0.338,0.089,0.056,0.268,0.302,0.25,0.035,46.0,30.0,9.0,1.0,7.0,78.0,0.252,0.341,0.42,0.761,24.0,23.0,2.3,1.9,0.0,,1.0,1.0,46.0
0,Justin Crawford,PHI,sa3020240,702222.0,21,211.0,195.0,151.0,45.0,0.2127736789631107,15.0,0.06911266201395813,0.0,1.0,0.317,0.056,0.056,0.257,0.374,0.201,0.057,48.0,33.0,8.0,1.0,6.0,83.0,0.245,0.301,0.378,0.679,26.0,25.0,13.9,11.3,3.0,,1.0,1.0,47.0
0,Trevor Larnach,MIN,21501,663616.0,28,411.0,369.0,280.0,90.0,0.21820000000000003,38.0,0.09285714285714286,1.0,4.0,0.337,0.08,0.06,0.258,0.323,0.249,0.031,94.0,61.0,19.0,1.0,13.0,156.0,0.256,0.331,0.42,0.751,49.0,53.0,5.5,3.5,2.0,OF,1.0,4.42,91.0
0,Thomas Saggese,STL,27883,695336.0,22,266.0,249.0,182.0,68.0,0.25451999999999997,16.0,0.058674285714285714,1.0,1.0,0.356,0.063,0.058,0.301,0.289,0.24,0.05,65.0,44.0,13.0,1.0,7.0,101.0,0.26,0.306,0.397,0.703,30.0,31.0,5.6,4.2,1.0,"2B, SS",1.0,1.54,59.0
0,Wenceel Perez,DET,22857,672761.0,25,428.0,390.0,296.0,95.0,0.2222,35.0,0.08117428571428573,1.0,2.0,0.318,0.073,0.066,0.254,0.261,0.313,0.032,94.0,60.0,19.0,2.0,13.0,165.0,0.241,0.306,0.404,0.709,48.0,49.0,13.5,10.5,3.0,OF,1.0,4.76,95.0
0,Luis Matos,SF,26467,682641.0,23,287.0,266.0,223.0,44.0,0.15305599999999997,19.0,0.06452857142857142,1.0,2.0,0.302,0.074,0.071,0.208,0.344,0.268,0.034,67.0,42.0,15.0,1.0,10.0,118.0,0.253,0.305,0.424,0.73,36.0,36.0,7.6,6.2,1.0,OF,1.0,2.71,64.0
0,Miguel Amaya,CHC,21693,665804.0,26,235.0,213.0,168.0,45.0,0.19119999999999998,16.0,0.06650857142857143,1.0,6.0,0.304,0.064,0.072,0.247,0.289,0.267,0.061,51.0,34.0,10.0,1.0,7.0,84.0,0.241,0.31,0.393,0.703,27.0,26.0,1.0,0.9,0.0,,1.0,1.0,52.0
0,Hunter Feduccia,TB,23372,676439.0,27,221.0,194.0,139.0,56.0,0.2522689075630252,25.0,0.11306122448979591,1.0,1.0,0.324,0.071,0.071,0.275,0.304,0.24,0.04,45.0,30.0,9.0,1.0,6.0,75.0,0.232,0.321,0.38,0.701,23.0,22.0,2.2,1.8,0.0,,1.0,1.0,49.0
0,J.C. Escarra,NYY,20084,641555.0,29,206.0,182.0,144.0,39.0,0.1895238095238095,20.0,0.09556851311953353,0.0,4.0,0.3,0.061,0.062,0.253,0.308,0.292,0.025,43.0,29.0,8.0,1.0,6.0,70.0,0.236,0.323,0.381,0.705,22.0,22.0,1.9,1.3,1.0,,1.0,1.0,46.0
0,Joe Mack,MIA,sa3017374,691788.0,22,259.0,235.0,161.0,75.0,0.28870588235294115,20.0,0.07680387409200969,1.0,3.0,0.333,0.088,0.069,0.25,0.284,0.257,0.052,53.0,33.0,11.0,1.0,8.0,94.0,0.228,0.297,0.389,0.686,32.0,28.0,4.0,3.1,1.0,C,1.0,1.03,58.0
0,Tyler Freeman,COL,22532,671289.0,25,333.0,294.0,249.0,45.0,0.136,27.0,0.08029142857142858,1.0,12.0,0.308,0.034,0.055,0.253,0.363,0.241,0.054,77.0,55.0,14.0,1.0,6.0,121.0,0.261,0.346,0.38,0.726,39.0,32.0,15.9,12.7,3.0,OF,1.0,3.14,74.0
0,Keibert Ruiz,WSH,19610,660688.0,26,367.0,345.0,303.0,43.0,0.1174,16.0,0.04465142857142857,1.0,5.0,0.294,0.035,0.039,0.284,0.301,0.299,0.041,89.0,65.0,16.0,1.0,7.0,129.0,0.258,0.3,0.371,0.672,37.0,40.0,5.0,3.0,2.0,C,1.0,2.05,82.0
0,Javier Baez,DET,12979,595879.0,32,392.0,369.0,275.0,96.0,0.244144,16.0,0.04142857142857143,1.0,6.0,0.312,0.064,0.071,0.231,0.354,0.245,0.036,86.0,57.0,16.0,2.0,10.0,141.0,0.232,0.274,0.368,0.642,43.0,42.0,6.9,6.0,1.0,"3B, SS, OF",1.0,3.25,87.0
0,Moises Ballesteros,CHC,28820,694208.0,21,358.0,316.0,241.0,75.0,0.2103030303030303,39.0,0.10935064935064935,1.0,2.0,0.323,0.074,0.065,0.258,0.317,0.251,0.035,78.0,51.0,15.0,1.0,11.0,131.0,0.247,0.333,0.406,0.739,41.0,43.0,3.9,3.1,1.0,UT,1.0,2.75,80.0
