Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Luis Torres","TOR",0.0425,0.0555,0,5.59872,1,0,0,0,,1,4.744,1.0535,0.6645,0.62208,0.143333,0.7441,0.0288,0.052,0.7309,6.5781,6.6969,0.98226,1.29,0.154068,0.156851,-0.002782464027404785,0.266851,1.7976,0.296118,0.709547,0.416162,,5.92497,-0.0167125,-0.0495056,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Luis Torres","sa3018320",800187
"Chris Williams Jr.","DET",0.0411,0.0569,0,5.47065,1,0,0,0,,1,4.751,1.0718,0.6529,0.60785,0.123556,0.7524,0.0288,0.0507,0.6408,5.7672,6.7716,0.851675,1.112,0.134877,0.158367,-0.02348978817462921,0.271486,1.8242,0.297858,0.709353,0.45336,,5.86906,-0.016725,-0.0484022,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Chris Williams Jr.","sa3020466",680754
"C.J. Widger","SDP",0.0422,0.0558,0,5.44347,1,0,0,0,,1,4.66,1.0374,0.644,0.60483,0.154222,0.6616,0.0283,0.0618,0.7349,6.6141,5.9544,1.11079,1.388,0.157704,0.141974,0.01572960615158081,0.263527,1.699,0.289806,0.711353,0.38086,,5.84043,-0.0167325,-0.0496723,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"C.J. Widger","sa3020960",702448
"Brayden Spears","CHC",0.0421,0.0559,0,5.52627,1,0,0,0,,1,4.66,1.1085,0.6598,0.61403,0.135111,0.6475,0.0283,0.046,0.587,5.283,5.8275,0.906564,1.216,0.125966,0.138949,-0.01298283040523529,0.279466,1.756,0.300022,0.699623,0.479085,,5.79808,-0.0167328,-0.0476476,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Brayden Spears","sa3067025",687168
"Dikember Sanchez",,0.0411,0.057,0,5.69844,1,0,0,0,,1,4.708,1.0994,0.6775,0.63316,0.139889,0.6858,0.0286,0.0517,0.6363,5.7267,6.1722,0.927822,1.259,0.135153,0.145667,-0.01051400601863861,0.276892,1.7852,0.300381,0.696949,0.451995,,5.89359,-0.0167383,-0.0470228,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Dikember Sanchez","sa3016033",699129
"Kumar Nambiar",,0.0419,0.059,0.0054,5.79294,0.9019,0.0209,0,0,,1,4.662,1.1199,0.6847,0.64366,0.163889,0.6167,0.0254,0.0402,0.5871,5.2839,5.5503,0.952003,1.475,0.125933,0.132282,-0.006349191069602966,0.279618,1.7366,0.293786,0.697937,0.396224,,6.06219,-0.0167456,-0.0450323,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Kumar Nambiar","sa3010666",687643
"Julian Bosnic","PIT",0.0405,0.0601,0.0052,5.56182,0.9101,0.0191,0,0,,1,4.745,1.0648,0.6614,0.61798,0.128778,0.7553,0.0261,0.051,0.6817,6.1353,6.7977,0.902555,1.159,0.143667,0.159178,-0.01551106572151184,0.270343,1.8201,0.299219,0.706606,0.430618,,5.86475,-0.0167464,-0.0442872,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Julian Bosnic","sa3020734",669343
"Anthony Tomczak","SEA",0.0424,0.0557,0,5.23053,1,0,0,0,,1,4.604,1.0535,0.6235,0.58117,0.142222,0.5982,0.0279,0.0541,0.6782,6.1038,5.3838,1.13373,1.28,0.147307,0.12993,0.01737619936466217,0.266594,1.6517,0.291024,0.70784,0.435334,,5.58453,-0.0167469,-0.0554528,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Anthony Tomczak","sa3011763",687088
"Anthony Susac","TEX",0.041,0.057,0,5.7303,1,0,0,0,,1,4.713,1.0676,0.6793,0.6367,0.148444,0.7228,0.0286,0.0438,0.692,6.228,6.5052,0.957388,1.336,0.146828,0.153363,-0.006535127758979797,0.270525,1.7904,0.295933,0.702082,0.424178,,5.98071,-0.0167697,-0.0492813,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Anthony Susac","sa3025400",695618
"Cody Adcock","CIN",0.0396,0.0585,0,5.99706,1,0,0,0,,1,4.704,1.0848,0.7069,0.66634,0.178111,0.6719,0.0285,0.0538,0.7195,6.4755,6.0471,1.07084,1.603,0.152955,0.142836,0.010119050741195679,0.272679,1.7567,0.294314,0.696457,0.398119,,6.18868,-0.0167741,-0.0417996,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Cody Adcock","sa3023175",694832
