,Unnamed: 0,DATE,TIME,GAME,TEAM,OPP,Pitcher,Proj
337,10,8-1,7:10pm ET,MIN@CLE,MIN,CLE,Zebby Matthews,15.2
338,17,8-1,7:10pm ET,NYY@MIA,MIA,NYY,Janson Junk,12.7
339,16,8-1,7:10pm ET,NYY@MIA,NYY,MIA,Carlos Rodon,17.7
340,21,8-1,8:10pm ET,PIT@COL,COL,PIT,German Marquez,11.3
341,20,8-1,8:10pm ET,PIT@COL,PIT,COL,Andrew Heaney,10.9
342,15,8-1,7:10pm ET,SF@NYM,NYM,SF,David Peterson,15.1
343,14,8-1,7:10pm ET,SF@NYM,SF,NYM,Robbie Ray,17.6
344,25,8-1,9:40pm ET,STL@SD,SD,STL,Randy Vasquez,7.9
345,24,8-1,9:40pm ET,STL@SD,STL,SD,Matthew Liberatore,11.7
346,28,8-1,10:10pm ET,TEX@SEA,TEX,SEA,Jon Gray,
347,29,8-1,10:10pm ET,TEX@SEA,SEA,TEX,George Kirby,18.2
