,player_name,pitcher,fDurability,fERA,fControl,fStuff
299,Angel Gonzalez,694261.0,,94.0,65.0,101.0
300,Angel Hernandez,696095.0,53.0,110.0,89.0,105.0
301,Angel Jimenez,691439.0,68.0,92.0,101.0,98.0
302,Angel Liranzo,808158.0,,89.0,93.0,90.0
303,Angel Macuare,672836.0,,86.0,105.0,88.0
304,Angel Peralta,90.0,,90.0,,
305,Angel Perdomo,622780.0,,97.0,87.0,102.0
306,Angel Perez,823862.0,77.0,97.0,100.0,104.0
307,Angel Reyes,681938.0,,95.0,103.0,85.0
308,Angel Rivero,90.0,,94.0,,
309,Angel Roman,800053.0,89.0,86.0,94.0,65.0
310,Angel Sanchez,605795.0,,91.0,95.0,87.0
311,Angel Vargas,685824.0,,100.0,,
312,Angel Zerpa,672582.0,150.0,94.0,104.0,92.0
313,Anthony Arguelles,690593.0,93.0,108.0,96.0,93.0
314,Anthony Astudillo,90.0,,91.0,,
315,Anthony Banda,607455.0,150.0,94.0,108.0,95.0
316,Anthony Bender,669622.0,80.0,,,103.0
317,Anthony Castro,621593.0,,,,102.0
318,Anthony Crespo,90.0,,91.0,,
319,Anthony Cruz,800045.0,116.0,96.0,99.0,91.0
320,Anthony DeSclafani,543101.0,,88.0,98.0,96.0
321,Anthony Flores,800260.0,94.0,96.0,96.0,90.0
322,Anthony Gantes,90.0,,95.0,,
323,Anthony Garcia,805817.0,,87.0,95.0,93.0
324,Anthony Gose,543238.0,,98.0,98.0,102.0
325,Anthony Hoopii-Tuionetoa,681896.0,,95.0,,101.0
326,Anthony Kay,641743.0,,110.0,103.0,116.0
327,Anthony Maldonado,687424.0,150.0,105.0,107.0,115.0
328,Anthony Mena,90.0,,96.0,,
329,Anthony Misiewicz,664948.0,150.0,105.0,110.0,107.0
330,Anthony Molina,683627.0,150.0,87.0,97.0,82.0
331,Anthony Mulrine,688226.0,,,,96.0
332,Anthony Narvaez,802083.0,,92.0,84.0,91.0
333,Anthony Nunez,689296.0,114.0,104.0,123.0,129.0
334,Anthony Simonelli,690206.0,57.0,103.0,107.0,104.0
335,Anthony Solometo,696143.0,49.0,102.0,102.0,91.0
336,Anthony Susac,695618.0,101.0,94.0,77.0,85.0
337,Anthony Tomczak,687088.0,,87.0,98.0,88.0
338,Anthony Veneziano,685107.0,139.0,94.0,100.0,88.0
339,Anthony Vizcaya,622415.0,,88.0,,95.0
340,Anthony Watts,825101.0,,,,100.0
341,Antoine Kelly,681520.0,117.0,102.0,92.0,96.0
342,Antoni Cuello,90.0,,92.0,,
343,Antoni Cuello,692391.0,,,,100.0
344,Antonio Florido,90.0,,93.0,,
345,Antonio Florido,802093.0,,,,103.0
346,Antonio Gomez,682625.0,40.0,,,109.0
347,Antonio Jimenez,682607.0,,102.0,88.0,105.0
348,Antonio Knowles,682087.0,99.0,110.0,108.0,105.0
349,Antonio Menendez,694674.0,138.0,105.0,96.0,87.0
350,Antonio Santos,665733.0,101.0,102.0,99.0,93.0
351,Antonio Senzatela,622608.0,122.0,,,96.0
352,Antonio Velez,669163.0,,89.0,,100.0
353,Antwone Kelly,699008.0,109.0,103.0,114.0,103.0
354,Anyelo Ovando,694041.0,84.0,96.0,95.0,88.0
355,Anyer Laureano,703242.0,40.0,113.0,93.0,125.0
356,Archie Bradley,605151.0,,95.0,,89.0
357,Argenis Aparicio,90.0,,91.0,,
358,Argenis Cayama,821783.0,54.0,93.0,92.0,
359,Aric McAtee,813878.0,72.0,99.0,112.0,100.0
360,Arij Fransen,687677.0,122.0,89.0,84.0,82.0
361,Armando Vasquez,684848.0,,99.0,89.0,105.0
362,Aroldis Chapman,547973.0,150.0,,,
363,Art Warren,605521.0,,86.0,89.0,98.0
364,Asa Lacy,669370.0,40.0,,,
365,Ashton Goudeau,623485.0,,83.0,94.0,78.0
366,Ashton Izzi,802416.0,104.0,101.0,104.0,91.0
367,Augusto Calderon,680601.0,,93.0,102.0,100.0
368,Augusto Mendieta,800078.0,110.0,95.0,119.0,105.0
369,Austin Adams,613534.0,,86.0,94.0,103.0
370,Austin Aldeano,699054.0,,90.0,86.0,98.0
371,Austin Amaral,694544.0,95.0,102.0,111.0,87.0
372,Austin Becker,678014.0,,104.0,105.0,100.0
373,Austin Bergner,666123.0,146.0,96.0,101.0,94.0
374,Austin Bibens-Dirkx,502212.0,,91.0,,
375,Austin Brice,592169.0,,95.0,82.0,95.0
376,Austin Briggs,682106.0,,91.0,80.0,93.0
377,Austin Cates,827110.0,119.0,97.0,117.0,99.0
378,Austin Cox,680735.0,142.0,93.0,99.0,88.0
379,Austin Davis,656354.0,55.0,102.0,86.0,99.0
380,Austin Ehrlicher,805972.0,76.0,111.0,100.0,104.0
381,Austin Emener,815305.0,40.0,92.0,113.0,101.0
382,Austin Gomber,596295.0,125.0,100.0,91.0,94.0
383,Austin Gordon,803135.0,101.0,93.0,113.0,95.0
384,Austin Hansen,667712.0,,85.0,81.0,87.0
385,Austin Kitchen,685116.0,146.0,99.0,113.0,82.0
386,Austin Krob,689474.0,,97.0,89.0,77.0
387,Austin Love,676153.0,105.0,105.0,105.0,108.0
388,Austin Peterson,804926.0,141.0,97.0,114.0,90.0
389,Austin Pope,687166.0,134.0,102.0,103.0,110.0
390,Austin Pruitt,643493.0,,93.0,112.0,85.0
391,Austin Roberts,686762.0,136.0,98.0,97.0,103.0
392,Austin Schulfer,662165.0,81.0,100.0,97.0,89.0
393,Austin Smith,694518.0,,91.0,83.0,95.0
394,Austin Smith - 694518,694518.0,101.0,,,
395,Austin Strickland,814088.0,118.0,104.0,100.0,95.0
396,Austin Temple,695368.0,,100.0,,94.0
397,Austin Troesser,809340.0,86.0,90.0,102.0,100.0
398,Austin Vernon,694391.0,146.0,99.0,96.0,116.0
399,Austin Voth,608723.0,,86.0,,100.0
400,Austin Warren,681810.0,119.0,101.0,109.0,95.0
401,Avery Short,683008.0,107.0,92.0,103.0,74.0
402,Avery Weems,686830.0,85.0,89.0,108.0,101.0
403,Axel Andueza,672847.0,,94.0,100.0,93.0
404,Ayendy Bravo,90.0,,93.0,,
405,Bailey Dees,676442.0,144.0,102.0,100.0,98.0
406,Bailey Falter,663559.0,140.0,91.0,99.0,80.0
407,Bailey Horn,690544.0,130.0,105.0,105.0,103.0
408,Bailey Ober,641927.0,145.0,99.0,,103.0
409,Bailey Reid,690232.0,,,,106.0
410,Baldemix Cabrera,90.0,,89.0,,
411,Baron Stuart,685067.0,128.0,98.0,90.0,85.0
412,Barrett Kent,806010.0,52.0,96.0,96.0,91.0
413,Barrett Loseke,667435.0,,99.0,,96.0
414,Bayant Melo,90.0,,93.0,,
415,Bayden Root,694843.0,,102.0,105.0,84.0
416,Bear Bellomy,680804.0,,91.0,,
417,Beau Blanchard,699782.0,112.0,89.0,117.0,96.0
418,Beau Brieske,689225.0,76.0,95.0,97.0,100.0
419,Beau Burrows,663366.0,,95.0,94.0,97.0
420,Beau Philip,685121.0,,86.0,91.0,98.0
421,Beau Sulser,676641.0,,89.0,105.0,86.0
422,Beck Way,694360.0,136.0,90.0,86.0,87.0
423,Ben Anderson,670391.0,114.0,90.0,98.0,72.0
424,Ben Beutel,694969.0,,102.0,116.0,93.0
425,Ben Bowden,641386.0,98.0,104.0,109.0,109.0
426,Ben Braymer,664069.0,,78.0,90.0,75.0
427,Ben Brown,676962.0,118.0,107.0,97.0,114.0
428,Ben Brutti,804992.0,96.0,105.0,94.0,89.0
429,Ben Casparius,676508.0,131.0,100.0,99.0,104.0
430,Ben Ethridge,805998.0,,95.0,106.0,81.0
431,Ben Hansen,810091.0,,88.0,94.0,76.0
432,Ben Harris,677946.0,,102.0,76.0,100.0
433,Ben Hecht,643357.0,,100.0,71.0,99.0
434,Ben Heller,621294.0,41.0,113.0,117.0,125.0
435,Ben Hernandez,690989.0,,98.0,91.0,78.0
436,Ben Hess,696292.0,124.0,115.0,105.0,115.0
437,Ben Holmes,592411.0,,95.0,,100.0
438,Ben Joyce,690829.0,42.0,100.0,126.0,110.0
439,Ben Kudrna,695667.0,113.0,97.0,103.0,94.0
440,Ben Leeper,663510.0,,99.0,,97.0
441,Ben Lively,594902.0,64.0,96.0,105.0,88.0
442,Ben Madison,681823.0,,118.0,85.0,118.0
443,Ben Onyshko,647306.0,,88.0,87.0,77.0
444,Ben Peoples,687239.0,99.0,97.0,98.0,104.0
445,Ben Peterson,803292.0,,96.0,94.0,87.0
446,Ben Petschke,814386.0,,85.0,78.0,70.0
447,Ben Sears,700786.0,121.0,91.0,105.0,85.0
448,Ben Shields,815456.0,101.0,110.0,105.0,109.0
449,Ben Simon,815084.0,120.0,103.0,112.0,110.0
450,Ben Thompson,802967.0,,90.0,,107.0
451,Ben Thompson - 802967,802967.0,98.0,,112.0,
452,Ben Vespi,694978.0,106.0,106.0,111.0,110.0
453,Ben Wereski,686844.0,,86.0,,100.0
454,Benito Garcia,681740.0,,98.0,117.0,96.0
455,Benjamin Arias,684485.0,,90.0,105.0,85.0
456,Benjamin Dum,690218.0,,85.0,,
457,Bennett Flynn,801720.0,,86.0,103.0,88.0
458,Bennett Sousa,656986.0,74.0,94.0,,115.0
459,Benny Thompson,802967.0,,98.0,97.0,134.0
460,Benony Robles,678840.0,,95.0,140.0,111.0
461,Bernard Jose,811594.0,,100.0,101.0,90.0
462,Bernard Mack,90.0,,90.0,,
463,Bernard Mack,808088.0,45.0,,86.0,100.0
464,Bernardo Flores Jr.,641576.0,,,,99.0
465,Bernardo Rivera,90.0,,91.0,,
466,Bernie Martinez,689852.0,,83.0,113.0,82.0
467,Biembenido  Brito,90.0,,93.0,,
468,Billy Corcoran,682225.0,54.0,92.0,109.0,84.0
469,Billy Lescher,676737.0,,86.0,,95.0
470,Billy Seidl,687225.0,,101.0,100.0,90.0
471,Billy Sullivan,676907.0,,96.0,72.0,87.0
472,Bishop Letson,811309.0,95.0,102.0,110.0,98.0
473,Bjorn Johnson,807723.0,120.0,102.0,97.0,90.0
474,Blade Tidwell,694918.0,118.0,104.0,107.0,107.0
475,Bladimir Pichardo,90.0,,93.0,,
476,Blaine Knight,667421.0,,,,104.0
477,Blair Calvo,663971.0,93.0,92.0,80.0,97.0
478,Blair Henley,668874.0,,98.0,95.0,90.0
479,Blake Adams,687060.0,119.0,94.0,111.0,88.0
480,Blake Aita,820832.0,114.0,97.0,115.0,87.0
481,Blake Battenfield,676732.0,,90.0,,
482,Blake Beers,676275.0,137.0,93.0,103.0,92.0
483,Blake Burkhalter,686628.0,102.0,98.0,104.0,95.0
484,Blake Cederlind,664977.0,,,,105.0
