,player_name,pitcher,fDurability,fERA,fControl,fStuff
197,Alexander Vallecillo,699132.0,,96.0,96.0,94.0
198,Alexis Diaz,664747.0,119.0,99.0,93.0,101.0
199,Alexis Liebano,806536.0,93.0,84.0,88.0,85.0
200,Alexis Paulino,90.0,,91.0,,
201,Alexis Torres,800225.0,73.0,98.0,100.0,97.0
202,Alfonso Hernandez,669799.0,,,110.0,
203,Alfonso Perez,90.0,,93.0,,
204,Alfred Morillo,801219.0,113.0,104.0,92.0,101.0
205,Alfred Vega,678758.0,72.0,97.0,102.0,101.0
206,Alfredi Jimenez,678085.0,,,104.0,
207,Alfredo Romero,801252.0,86.0,97.0,94.0,87.0
208,Alfredo Ruiz,701619.0,,88.0,84.0,87.0
209,Alfredo Zarraga,700287.0,79.0,106.0,103.0,112.0
210,Alimber Santa,695001.0,107.0,107.0,100.0,102.0
211,Alison Zacarias,90.0,,92.0,,
212,Alix Hernandez,90.0,,91.0,,
213,Alix Hernandez,806672.0,,,60.0,91.0
214,Allan Hernandez,687198.0,66.0,105.0,92.0,98.0
215,Allan Saathoff,802697.0,80.0,85.0,79.0,82.0
216,Allan Winans,642216.0,114.0,109.0,117.0,99.0
217,Allen Facundo,702098.0,56.0,116.0,108.0,102.0
218,Alonzo Richardson,694946.0,97.0,84.0,88.0,83.0
219,Alonzo Tredwell,696280.0,89.0,102.0,105.0,106.0
220,Alton Davis II,702671.0,,,104.0,92.0
221,Alvaro Gamez,90.0,,93.0,,
222,Alvaro Gonzalez,677572.0,,,,98.0
223,Alvin Guzman,682630.0,62.0,99.0,93.0,91.0
224,Alvin Nova,812460.0,,,63.0,
225,Amilcar Chirinos,702847.0,105.0,101.0,99.0,107.0
226,Amir Garrett,607237.0,69.0,99.0,100.0,106.0
227,Amos Willingham,686294.0,102.0,101.0,111.0,107.0
228,Anders Tolhurst,689434.0,86.0,96.0,104.0,93.0
229,Anderson Amarista,665915.0,,,97.0,
230,Anderson Bido,675525.0,118.0,86.0,96.0,78.0
231,Anderson Brito,820901.0,56.0,106.0,97.0,110.0
232,Anderson Comas,672624.0,,85.0,101.0,96.0
233,Anderson Espinoza,659262.0,,90.0,96.0,86.0
234,Anderson Jimenez,90.0,,94.0,,
235,Anderson Munoz,674468.0,,,129.0,101.0
236,Anderson Paulino,678255.0,80.0,96.0,103.0,86.0
237,Anderson Pilar,666768.0,117.0,106.0,115.0,102.0
238,Anderson Ramos,90.0,,93.0,,
239,Andinson Ferrer,800072.0,,95.0,87.0,97.0
240,Andre Granillo,701552.0,124.0,113.0,115.0,120.0
241,Andre Jackson,656578.0,,100.0,99.0,108.0
242,Andre Pallante,669467.0,132.0,101.0,93.0,90.0
243,Andre Sanchez,700062.0,76.0,82.0,78.0,78.0
244,Andre Scrubb,668687.0,,,88.0,86.0
245,Andres Diaz,681609.0,,,89.0,
246,Andres Galan,800883.0,67.0,95.0,111.0,87.0
247,Andres Machado,600921.0,,104.0,123.0,108.0
248,Andres Munoz,662253.0,124.0,,,108.0
249,Andres Nunez,656804.0,,92.0,95.0,86.0
250,Andres Sotillet,666005.0,,,107.0,
251,Andrew Abbott,671096.0,128.0,115.0,107.0,112.0
252,Andrew Albers,452027.0,,91.0,108.0,
253,Andrew Alvarez,674841.0,118.0,104.0,102.0,92.0
254,Andrew Baker,687900.0,119.0,98.0,92.0,110.0
255,Andrew Bash,687856.0,119.0,102.0,103.0,89.0
256,Andrew Bechtold,657510.0,95.0,100.0,95.0,112.0
257,Andrew Bellatti,571479.0,83.0,100.0,92.0,96.0
258,Andrew Bolivar,90.0,,92.0,,
259,Andrew Cabezas,663716.0,,89.0,106.0,93.0
260,Andrew Carson,802539.0,,98.0,78.0,79.0
261,Andrew Chafin,605177.0,119.0,,112.0,104.0
262,Andrew Dalquist,686643.0,112.0,93.0,83.0,95.0
263,Andrew Dutkanych IV,702254.0,,,104.0,100.0
264,Andrew Gross,679863.0,,,119.0,
265,Andrew Heaney,571760.0,127.0,,126.0,99.0
266,Andrew Hoffmann,694851.0,96.0,105.0,114.0,110.0
267,Andrew Kittredge,552640.0,113.0,88.0,109.0,101.0
268,Andrew Landry,815069.0,83.0,96.0,101.0,90.0
269,Andrew Lee,622230.0,,,99.0,
270,Andrew Lindsey,701604.0,,85.0,100.0,89.0
271,Andrew Magno,687841.0,140.0,108.0,101.0,105.0
272,Andrew Marrero,687817.0,103.0,92.0,77.0,102.0
273,Andrew McInvale,687534.0,,96.0,93.0,102.0
274,Andrew Misiaszek,667280.0,78.0,96.0,93.0,91.0
275,Andrew Moore,681097.0,,97.0,86.0,112.0
276,Andrew Moore - 681097,681097.0,114.0,,87.0,
277,Andrew Morones,688474.0,68.0,104.0,99.0,98.0
278,Andrew Morris,702193.0,96.0,101.0,111.0,97.0
279,Andrew Nardi,677053.0,77.0,,123.0,103.0
280,Andrew Painter,691725.0,85.0,96.0,105.0,103.0
281,Andrew Perez,680970.0,,92.0,102.0,100.0
282,Andrew Peters,687107.0,,,57.0,91.0
283,Andrew Pogue,689535.0,,,60.0,104.0
284,Andrew Politi,681555.0,64.0,96.0,104.0,97.0
285,Andrew Quezada,676768.0,99.0,86.0,95.0,78.0
286,Andrew Saalfrank,685314.0,84.0,113.0,100.0,110.0
287,Andrew Schultz,669697.0,78.0,96.0,84.0,102.0
288,Andrew Sears,808825.0,117.0,104.0,112.0,103.0
289,Andrew Suarez,605498.0,60.0,93.0,113.0,93.0
290,Andrew Taylor,800063.0,71.0,87.0,96.0,92.0
291,Andrew Vail,693685.0,,85.0,82.0,98.0
292,Andrew Vasquez,607755.0,84.0,95.0,108.0,80.0
293,Andrew Walling,681003.0,106.0,110.0,103.0,105.0
294,Andrew Walters,689958.0,71.0,113.0,112.0,133.0
295,Andrew Wantz,681806.0,66.0,100.0,105.0,111.0
296,Andruw Salcedo,691402.0,,,,96.0
297,Andry Lara,691251.0,86.0,87.0,90.0,87.0
298,Andy Basora,90.0,,94.0,,
299,Andy Fabian,820848.0,,106.0,110.0,107.0
300,Andy Fisher,688585.0,,102.0,100.0,89.0
301,Andy Luis,692451.0,,,73.0,90.0
302,Andy Otero,554241.0,,,110.0,
303,Andy Rodriguez,701259.0,,90.0,109.0,108.0
304,Andy Rodriguez,703142.0,,85.0,111.0,80.0
305,Andy Rodriguez - 701259,701259.0,73.0,100.0,101.0,84.0
306,Andy Rodriguez - 703142,703142.0,85.0,100.0,108.0,94.0
307,Aneudis Mejia,805874.0,82.0,99.0,90.0,96.0
308,Aneudy Cortorreal,683676.0,60.0,98.0,78.0,106.0
309,Aneury Lora,699699.0,85.0,102.0,110.0,89.0
310,Aneurys Zabala,656008.0,,109.0,91.0,124.0
311,Anferni Gonzalez,90.0,,87.0,,
312,Anfernny Reyes,703102.0,86.0,103.0,78.0,96.0
313,Angel Acevedo,667686.0,,,94.0,
314,Angel Alfonseca,695227.0,,,50.0,100.0
315,Angel Anazco,807816.0,,,67.0,98.0
316,Angel Bastardo,682785.0,61.0,102.0,104.0,109.0
317,Angel Beltran,90.0,,95.0,,
318,Angel Camacho,90.0,,90.0,,
319,Angel Chivilli,683409.0,109.0,96.0,110.0,117.0
320,Angel Cruz,90.0,,93.0,,
321,Angel Cuenca,681450.0,90.0,87.0,84.0,87.0
322,Angel De Jesus,669804.0,,100.0,102.0,109.0
323,Angel Felipe,665734.0,80.0,98.0,72.0,99.0
324,Angel Gonzalez,694261.0,91.0,95.0,64.0,101.0
325,Angel Hernandez,696095.0,73.0,109.0,88.0,102.0
326,Angel Jimenez,691439.0,55.0,101.0,97.0,100.0
327,Angel Liranzo,808158.0,,83.0,97.0,80.0
328,Angel Macuare,672836.0,77.0,88.0,104.0,91.0
329,Angel Peralta,90.0,,90.0,,
330,Angel Perdomo,622780.0,66.0,103.0,86.0,99.0
331,Angel Perez,823862.0,,97.0,88.0,103.0
332,Angel Reyes,681938.0,78.0,95.0,101.0,88.0
333,Angel Rivero,90.0,,94.0,,
334,Angel Roman,800053.0,83.0,87.0,97.0,72.0
335,Angel Rondon,667373.0,,,97.0,
336,Angel Sanchez,605795.0,53.0,93.0,103.0,90.0
337,Angel Tejada,698941.0,,,64.0,
338,Angel Vargas,685824.0,,100.0,89.0,96.0
339,Angel Zerpa,672582.0,128.0,95.0,105.0,94.0
340,Angello Infante,666690.0,,,86.0,
341,Angelo Smith,816212.0,,,93.0,
342,Anthony Arguelles,690593.0,92.0,108.0,98.0,96.0
343,Anthony Astudillo,90.0,,91.0,,
344,Anthony Banda,607455.0,138.0,94.0,103.0,96.0
345,Anthony Bender,669622.0,94.0,,,103.0
346,Anthony Castro,621593.0,,,,102.0
347,Anthony Crespo,90.0,,91.0,,
348,Anthony Cruz,800045.0,84.0,96.0,100.0,94.0
349,Anthony DeSclafani,543101.0,68.0,88.0,103.0,98.0
350,Anthony Flores,800260.0,84.0,96.0,98.0,93.0
351,Anthony Gantes,90.0,,95.0,,
352,Anthony Garcia,805817.0,56.0,84.0,98.0,84.0
353,Anthony Gose,543238.0,91.0,99.0,96.0,103.0
354,Anthony Hoopii-Tuionetoa,681896.0,70.0,100.0,109.0,102.0
355,Anthony Kay,641743.0,,108.0,103.0,115.0
356,Anthony Maldonado,687424.0,126.0,104.0,106.0,114.0
357,Anthony Mena,90.0,,96.0,,
358,Anthony Misiewicz,664948.0,105.0,104.0,113.0,104.0
359,Anthony Molina,683627.0,116.0,89.0,99.0,87.0
360,Anthony Mulrine,688226.0,,,,96.0
361,Anthony Narvaez,802083.0,,92.0,93.0,91.0
362,Anthony Nunez,689296.0,94.0,124.0,114.0,125.0
363,Anthony Simonelli,690206.0,83.0,102.0,104.0,103.0
364,Anthony Solometo,696143.0,67.0,102.0,103.0,96.0
365,Anthony Susac,695618.0,94.0,95.0,76.0,90.0
366,Anthony Tomczak,687088.0,67.0,91.0,97.0,90.0
367,Anthony Veneziano,685107.0,112.0,91.0,97.0,86.0
368,Anthony Vizcaya,622415.0,,91.0,121.0,91.0
369,Anthony Watts,825101.0,,,,100.0
370,Antoine Kelly,681520.0,83.0,102.0,90.0,99.0
371,Antoni Cuello,90.0,,92.0,,
372,Antoni Cuello,692391.0,,,,100.0
373,Antonio Florido,90.0,,93.0,,
374,Antonio Florido,802093.0,,,,103.0
375,Antonio Gomez,682625.0,,,,109.0
376,Antonio Jimenez,682607.0,103.0,103.0,88.0,106.0
377,Antonio Knowles,682087.0,109.0,110.0,110.0,105.0
378,Antonio Menendez,694674.0,112.0,106.0,98.0,90.0
