,PLAYERID,NAME,HAND,TEAM,OPP_TM,SALARY,POS,LP,OL,OD,IPL,ERROR,2H,PITCHER,CATCHER,UMPIRE,PARK,ROOF,GVF,PLATOON,HFA,PH%,COLD,TILT_BIAS,FPTS,FPTS/$,RBI,R,SB,CS,SH,SF,GIDP,HR_DEPENDENCE,0%_PH%_FPTS,SLATE,FLOOR,CEILING,POWN,PA,PAVSSP,PAVSSP%,BA,_OBP,SLG,ISO,WOBA,CNWOBA,XWOBA_CS,XWOBA_LS,AB,K,BB,IBB,HBP,H,1B,2B,3B,HR,TB,PARTNERID,OWNERSHIP
37,6415671.0,James Wood,L,WAS,CHC,13500,OF,1,true,true,true,-,-,Javier Assad,Reese McGuire (N),Clint Vondrak (EH),CHC,-,-,true,false,0%,false,62%,9.0,0.67,0.48,0.7,0.15,0.05,0.01,0.001,0.09,24%,9.0,--,0.96,20.11,0.01,4.64,2.88,62%,0.254,0.361,0.427,0.173,0.344,0.352,0.36,0.354,3.97,1.35,0.63,0.04,0.03,1.01,0.65,0.18,0.03,0.14,1.69,6415671.0,
38,5581475.0,Jackson Chourio,R,MIL,PIT,4400,OF,2,false,false,true,-,-,Johan Oviedo,Joey Bart (N),-,PIT,-,-,false,false,0%,false,55%,9.0,2.05,0.63,0.67,0.18,0.04,0.01,0.001,0.09,20%,9.04,--,0.93,20.55,30.36,4.62,2.68,58%,0.265,0.317,0.414,0.149,0.319,0.334,0.329,0.337,4.28,1.0,0.28,0.01,0.05,1.13,0.76,0.23,0.03,0.12,1.77,5581475.0,
39,2039122.0,Cal Raleigh,B,SEA,ATL,6100,C,2,false,false,true,-,-,Chris Sale,Drake Baldwin (N),-,ATL,-,-,true,false,0%,false,54%,8.94,1.47,0.66,0.71,0.06,0.02,0.0,0.001,0.05,45%,8.94,Main,0.43,20.11,3.81,4.52,2.82,62%,0.219,0.309,0.465,0.246,0.33,0.354,0.351,0.339,3.99,1.46,0.48,0.06,0.04,0.87,0.43,0.17,0.02,0.26,1.85,2039122.0,
40,2039703.0,Michael Busch,L,CHC,WAS,12300,1B,1,true,true,true,-,-,Jake Irvin,Riley Adams (-),Clint Vondrak (EH),CHC,-,-,true,true,10%,false,59%,8.93,0.73,0.59,0.78,0.02,0.01,0.0,0.001,0.07,35%,9.25,--,0.84,19.9,0.01,4.33,2.93,68%,0.269,0.357,0.498,0.229,0.369,0.345,0.362,0.314,3.8,0.92,0.47,0.01,0.06,1.02,0.59,0.21,0.02,0.21,1.89,2039703.0,
41,2038763.0,Tyler Freeman,R,COL,SDP,4700,2B/OF,1,false,false,true,-,-,Nick Pivetta,Freddy Fermin (N),-,COL,-,H,false,true,4%,false,65%,8.92,1.9,0.43,0.65,0.16,0.06,0.04,0.001,0.1,17%,9.06,Main,1.08,20.47,7.31,4.46,2.93,66%,0.31,0.367,0.471,0.161,0.366,0.324,0.342,0.295,4.04,0.59,0.29,0.0,0.1,1.25,0.85,0.25,0.05,0.1,1.9,2038763.0,
42,16437.0,Byron Buxton,R,MIN,KCR,5900,OF,1,false,false,true,-,-,Michael Wacha,Salvador Perez (N),-,KCR,-,-,false,false,2%,false,54%,8.86,1.5,0.56,0.72,0.05,0.02,0.0,0.001,0.06,36%,8.96,Main,0.56,19.86,2.83,4.55,2.81,62%,0.247,0.313,0.479,0.232,0.339,0.365,0.366,0.37,4.15,1.15,0.34,0.02,0.06,1.02,0.53,0.24,0.04,0.21,1.98,16437.0,
43,5936410.0,Wyatt Langford,R,TEX,HOU,4500,OF,3,false,false,true,-,-,Colton Gordon,Yainer Diaz (N),-,TEX,Closed,-,true,true,0%,false,61%,8.86,1.97,0.63,0.62,0.1,0.04,0.0,0.001,0.06,35%,8.86,Main,0.43,19.99,5.04,4.18,2.52,60%,0.264,0.348,0.5,0.236,0.364,0.356,0.341,0.356,3.7,0.92,0.44,0.02,0.04,0.98,0.54,0.2,0.03,0.2,1.85,5936410.0,
44,2038978.0,Brent Rooker,R,ATH,LAA,4800,OF,3,false,false,true,-,-,Jose Soriano,Logan O'Hoppe (-),-,LAA,-,H,false,false,0%,false,64%,8.85,1.84,0.68,0.63,0.04,0.02,0.0,0.001,0.08,35%,8.85,Main,0.71,19.62,4.83,4.48,2.81,63%,0.269,0.348,0.476,0.207,0.356,0.367,0.361,0.364,3.99,1.13,0.41,0.02,0.07,1.08,0.67,0.19,0.01,0.2,1.9,2038978.0,
45,5280738.0,Junior Caminero,R,TBR,CLE,5700,3B,4,false,false,true,-,-,Gavin Williams,Austin Hedges (++),Jansen Visconti (H),TAM01,-,-,false,true,2%,false,61%,8.8,1.54,0.77,0.67,0.03,0.01,0.0,0.001,0.09,45%,8.86,Main,0.66,19.68,3.77,4.08,2.63,64%,0.265,0.318,0.516,0.251,0.356,0.347,0.326,0.288,3.78,0.85,0.27,0.01,0.03,1.0,0.57,0.17,0.01,0.26,1.95,5280738.0,
46,1203809.0,Trent Grisham,L,NYY,TOR,4400,OF,1,false,false,true,-,-,Kevin Gausman,Alejandro Kirk (+),-,NYY,-,-,true,true,0%,false,66%,8.77,1.99,0.55,0.73,0.06,0.02,0.03,0.001,0.06,43%,8.77,Main,0.46,19.43,9.09,4.45,2.87,64%,0.225,0.325,0.474,0.249,0.346,0.347,0.347,0.292,3.84,1.09,0.55,0.01,0.04,0.86,0.42,0.17,0.01,0.25,1.82,1203809.0,
