,player_name,pitcher,fDurability,fERA,fControl,fStuff
1854,Lance Lynn,458681,,99.0,96.0,84.0
1099,Gordon Graceffo,700669,147.0,99.0,,94.0
1117,Greg Weissert,669711,150.0,99.0,,92.0
2251,Nick Mears,683232,145.0,98.0,,101.0
438,Burch Smith,572143,,98.0,,78.0
2635,Shawn Dubin,681869,109.0,98.0,,91.0
3038,Zack Littell,641793,150.0,98.0,119.0,86.0
3022,Zach McKinstry,656716,,98.0,,
1554,Jonah Tong,804636,132.0,98.0,,99.0
590,Chris Devenski,606965,,98.0,,91.0
776,David Festa,701581,96.0,98.0,,102.0
2264,Nick Vespi,663989,,98.0,,
10,Aaron Civale,650644,141.0,98.0,101.0,87.0
465,Caleb Boushley,676961,135.0,98.0,,86.0
2650,Slade Cecconi,677944,149.0,98.0,109.0,90.0
408,Bryan Hoeing,663773,104.0,98.0,,89.0
2909,Wikelman Gonzalez,682790,132.0,98.0,,106.0
1379,James Karinchak,675916,,98.0,,
932,Elvis Peguero,665625,,98.0,,100.0
333,Brandon Pfaadt,694297,150.0,98.0,112.0,92.0
2538,Ryan Weathers,677960,122.0,98.0,,101.0
2402,Raymond Burgos,670103,,98.0,,
2654,Spencer Bivens,702352,150.0,98.0,103.0,83.0
2547,Sam Bachman,696147,122.0,98.0,,105.0
366,Brennan Bernardino,657514,117.0,98.0,,83.0
2524,Ryan Pressly,519151,,98.0,,83.0
1766,Kelvin Caceres,680983,,98.0,,
2141,Michael Lorenzen,547179,143.0,98.0,101.0,92.0
1326,Jacob Webb,657097,,98.0,,100.0
2133,Michael Fulmer,605242,127.0,98.0,,101.0
2615,Seth Halvorsen,678020,80.0,98.0,,106.0
857,Drew Smith,622098,40.0,98.0,,105.0
2840,Tyler Kinley,641755,147.0,98.0,95.0,106.0
179,Anthony Bass,542914,,98.0,,
1818,Kumar Rocker,677958,93.0,98.0,101.0,94.0
533,Casey Legumina,668984,146.0,98.0,,99.0
1159,Hector Perez,660431,,98.0,,
2740,Tommy Hunter,488984,,98.0,,
216,Austin Cox,680735,142.0,98.0,,95.0
2826,Tyler Cyr,664202,,98.0,,
952,Enyel De Los Santos,660853,150.0,98.0,,104.0
1918,Lucas Giolito,608337,127.0,98.0,93.0,90.0
1457,Jesse Hahn,534910,80.0,98.0,,104.0
105,Alex Young,622065,57.0,98.0,,
118,Allan Winans,642216,137.0,98.0,,97.0
2959,Yaramil Hiraldo,682274,103.0,98.0,,118.0
87,Alex Colome,517008,,98.0,,
1520,Joey Lucchesi,664192,136.0,98.0,,83.0
61,Alan Trejo,676701,,98.0,,
72,Alec Marsh,679525,55.0,98.0,102.0,93.0
2972,Yerry De los Santos,660787,,97.0,,100.0
73,Alec Mills,621219,,97.0,,
2594,Sean Guenther,674944,62.0,97.0,,95.0
2593,Sean Burke,680732,133.0,97.0,82.0,97.0
1531,John Brebbia,605154,110.0,97.0,,96.0
2924,Will Klein,694361,149.0,97.0,,104.0
1491,Joe Boyle,671212,150.0,97.0,,106.0
1064,Garrett McDaniels,680729,116.0,97.0,,105.0
1077,Gavin Stone,694813,53.0,97.0,,83.0
2942,Willie MacIver,680862,,97.0,,
2770,Trent Thornton,663423,93.0,97.0,,90.0
1858,Landen Roupp,694738,81.0,97.0,85.0,92.0
2879,Victor Gonzalez,624647,,97.0,,91.0
1588,Jorge Lopez,605347,,97.0,,89.0
861,Drew VerHagen,572403,,97.0,,
858,Drew Smyly,592767,,97.0,95.0,91.0
