,BatterName,batter,GB%,FB%,LD%,Brl%,SweetSpot%,AirPull%,Chase%,Z-Swing%,Contact%,Z-Contact%,la_median,la_std,EV90,xwOBACON,xwOBA,Team,PA,AB,H,R,HR,RBI,SB,CS,AVG,OBP,SLG,SBAtt%,K%,BB%,RotoValue,RV_per600,fHitTool,fDiscipline,fPower,fSpeed,fDurability,Year
415,Jose Miranda,669304,0.398,0.262,0.257,0.058,0.34,0.182,0.359,0.705,0.772,0.875,15.0,29.4717026708965,103.29,0.3375939226519337,0.2983408448275862,MIN,465.0,437.0,120.0,46.0,10.0,54.0,2.0,2.0,0.275,0.31,0.426,0.039,0.17,0.039,0.66,0.85,,93.0,98.0,90.0,107.0,2024-2025
416,Jose Ramirez,608070,0.338,0.305,0.24,0.079,0.364,0.248,0.304,0.674,0.85,0.908,20.0,28.177881891510864,104.12,0.35811131898971005,0.3405502856060606,CLE,1353.0,1213.0,339.0,217.0,69.0,203.0,85.0,15.0,0.279,0.346,0.519,0.312,0.115,0.089,18.45,8.18,105.0,112.0,118.0,123.0,129.0,2024-2025
417,Jose Siri,642350,0.391,0.32,0.213,0.15,0.368,0.162,0.352,0.672,0.581,0.673,18.0,28.13778747088731,105.4,0.4403784860557769,0.29097357828810017,NYM,480.0,434.0,77.0,57.0,18.0,48.0,16.0,7.0,0.177,0.248,0.348,0.28,0.39,0.073,-0.68,-0.85,88.0,91.0,119.0,113.0,,2024-2025
418,Jose Tena,677588,0.534,0.182,0.254,0.068,0.331,0.051,0.304,0.653,0.77,0.844,6.0,28.938778844729477,103.5,0.3646271186440678,0.30318988130563795,WSH,337.0,313.0,80.0,33.0,3.0,31.0,9.0,2.0,0.256,0.306,0.355,0.138,0.231,0.065,-0.6,-1.07,,,,120.0,108.0,2024-2025
419,Jose Trevino,624431,0.465,0.243,0.224,0.048,0.298,0.191,0.306,0.569,0.815,0.877,10.0,31.378449364764954,102.61999999999999,0.28945563549160674,0.2746130786516854,CIN,534.0,491.0,113.0,56.0,12.0,51.0,1.0,0.0,0.23,0.281,0.354,0.009,0.15,0.066,-0.59,-0.66,88.0,105.0,88.0,68.0,98.0,2024-2025
420,Josh Bell,605137,0.479,0.256,0.209,0.097,0.341,0.128,0.271,0.712,0.747,0.824,10.0,27.749913044169574,106.54,0.3706915422885572,0.33673348272807796,WSH,1131.0,1006.0,246.0,116.0,41.0,134.0,0.0,4.0,0.245,0.323,0.413,0.014,0.184,0.095,4.33,2.3,99.0,106.0,107.0,72.0,122.0,2024-2025
421,Josh Jung,673962,0.419,0.26,0.264,0.087,0.405,0.112,0.339,0.692,0.728,0.806,14.0,27.22616704437486,103.2,0.3855599173553719,0.305117556509299,TEX,699.0,660.0,168.0,72.0,21.0,77.0,8.0,1.0,0.255,0.295,0.398,0.058,0.253,0.05,2.25,1.93,107.0,93.0,93.0,84.0,114.0,2024-2025
422,Josh Lowe,666139,0.418,0.243,0.276,0.079,0.374,0.128,0.352,0.707,0.702,0.748,13.0,27.636491519579938,104.49000000000001,0.3833550863723609,0.2988945955882353,TB,821.0,749.0,172.0,93.0,21.0,74.0,43.0,5.0,0.23,0.292,0.378,0.274,0.283,0.079,3.97,2.9,105.0,97.0,95.0,115.0,111.0,2024-2025
423,Josh Naylor,647304,0.463,0.256,0.219,0.076,0.316,0.15,0.344,0.725,0.778,0.862,11.0,28.363000562102584,105.14,0.363378640776699,0.3365455893442623,SEA,1232.0,1106.0,297.0,165.0,51.0,200.0,36.0,4.0,0.269,0.336,0.459,0.131,0.153,0.086,11.64,5.67,104.0,107.0,104.0,76.0,122.0,2024-2025
424,Josh Palacios,641943,0.527,0.182,0.196,0.068,0.27,0.115,0.259,0.712,0.728,0.79,7.0,33.548377858284425,105.03,0.3487278911564626,0.31655473873873874,CWS,222.0,195.0,41.0,21.0,5.0,18.0,1.0,0.0,0.21,0.306,0.318,0.018,0.216,0.099,-2.27,-6.14,,,,96.0,89.0,2024-2025
425,Josh Rojas,668942,0.408,0.299,0.241,0.05,0.362,0.132,0.213,0.679,0.76,0.838,16.0,26.498619347298547,101.7,0.32019825708061,0.28374680763582966,CWS,683.0,611.0,128.0,62.0,10.0,42.0,14.0,5.0,0.209,0.287,0.311,0.122,0.228,0.095,-0.8,-0.7,,,,,,2024-2025
